subjects,Network,Model,perf
0,language,GPT2-XL,0.0017052440813959031
0,language,GPT2-XL-mp,0.005905484511829974
0,language,GPT2-XL-sp,0.004629950429215722
0,language,OASM,0.0
1,language,GPT2-XL,0.0
1,language,GPT2-XL-mp,0.0
1,language,GPT2-XL-sp,7.448987973649827e-06
1,language,OASM,1.6142155501534343e-06
2,language,GPT2-XL,0.0
2,language,GPT2-XL-mp,0.0010864709926118876
2,language,GPT2-XL-sp,0.0009139074213761663
2,language,OASM,0.0
3,language,GPT2-XL,0.0
3,language,GPT2-XL-mp,0.0006092416567562986
3,language,GPT2-XL-sp,0.0005140855388511001
3,language,OASM,3.0470578401488774e-05
4,language,GPT2-XL,0.0
4,language,GPT2-XL-mp,0.0
4,language,GPT2-XL-sp,0.0
4,language,OASM,3.836287497789118e-05
