subjects,Network,Model,perf
0,language,GPT2-XL,0.0
0,language,GPT2-XL-mp,0.0
0,language,GPT2-XL-sp,0.0
0,language,OASM,4.987145696411233e-09
1,language,GPT2-XL,0.0
1,language,GPT2-XL-mp,0.0
1,language,GPT2-XL-sp,0.0
1,language,OASM,1.973686896324563e-08
2,language,GPT2-XL,0.0
2,language,GPT2-XL-mp,0.0
2,language,GPT2-XL-sp,0.0
2,language,OASM,1.5871165122878967e-09
3,language,GPT2-XL,0.0
3,language,GPT2-XL-mp,0.0
3,language,GPT2-XL-sp,0.0
3,language,OASM,2.8531669249431957e-09
4,language,GPT2-XL,0.0
4,language,GPT2-XL-mp,0.0
4,language,GPT2-XL-sp,0.0
4,language,OASM,4.305479260150828e-09
