subjects,Network,Model,perf
0,language,GPT2-XL,0.0
0,language,GPT2-XL-mp,0.0
0,language,GPT2-XL-sp,0.0
0,language,OASM,0.15867494981912764
1,language,GPT2-XL,0.0
1,language,GPT2-XL-mp,0.0
1,language,GPT2-XL-sp,0.0
1,language,OASM,0.05751450803957536
2,language,GPT2-XL,0.0
2,language,GPT2-XL-mp,0.0
2,language,GPT2-XL-sp,0.0
2,language,OASM,0.1367142633993431
3,language,GPT2-XL,0.0
3,language,GPT2-XL-mp,0.0
3,language,GPT2-XL-sp,0.0
3,language,OASM,0.03705790286168815
4,language,GPT2-XL,0.0
4,language,GPT2-XL-mp,0.0
4,language,GPT2-XL-sp,0.0
4,language,OASM,0.06449480734396987
