subjects,Network,Model,perf
0,language,GPT2-XL,0.005213341215447577
0,language,GPT2-XL-mp,0.036426118004479015
0,language,GPT2-XL-sp,0.03101247525676908
0,language,OASM,0.30786731145496515
1,language,GPT2-XL,0.0
1,language,GPT2-XL-mp,0.008075269538761707
1,language,GPT2-XL-sp,0.0033059577456476066
1,language,OASM,0.20505530008746098
2,language,GPT2-XL,0.00573591280524909
2,language,GPT2-XL-mp,0.01981503421428754
2,language,GPT2-XL-sp,0.019363403635507953
2,language,OASM,0.2929188660679925
3,language,GPT2-XL,0.0017356379185242132
3,language,GPT2-XL-mp,0.010203325107901543
3,language,GPT2-XL-sp,0.006822941744670935
3,language,OASM,0.17792136377958193
4,language,GPT2-XL,0.0007069789429712814
4,language,GPT2-XL-mp,0.01015003156286847
4,language,GPT2-XL-sp,0.010688564148233845
4,language,OASM,0.23463452803587584
