subjects,Network,Model,perf
0,language,GPT2-XL,0.035340974768032475
0,language,GPT2-XL-mp,0.04515395525896728
0,language,GPT2-XL-sp,0.04552103517435724
0,language,OASM,0.0
1,language,GPT2-XL,0.0
1,language,GPT2-XL-mp,0.016521501122129394
1,language,GPT2-XL-sp,0.016323272085428716
1,language,OASM,0.0
2,language,GPT2-XL,0.03336422328653841
2,language,GPT2-XL-mp,0.021496319704832494
2,language,GPT2-XL-sp,0.011745991026657668
2,language,OASM,0.0
3,language,GPT2-XL,0.027507524035321824
3,language,GPT2-XL-mp,0.011535156711009428
3,language,GPT2-XL-sp,0.0039840410290546595
3,language,OASM,0.0
4,language,GPT2-XL,0.008063738547229046
4,language,GPT2-XL-mp,0.010898946490039937
4,language,GPT2-XL-sp,0.011921030928260135
4,language,OASM,0.0
