subjects,Network,Model,perf
0,language,GPT2-XL,0.09011207761119205
0,language,GPT2-XL-mp,0.18522177977258333
0,language,GPT2-XL-sp,0.18777705712811654
0,language,OASM,0.5507300324974066
1,language,GPT2-XL,0.05082869741649219
1,language,GPT2-XL-mp,0.1307297298388538
1,language,GPT2-XL-sp,0.11480734417085793
1,language,OASM,0.46847750793843534
2,language,GPT2-XL,0.0804521792162984
2,language,GPT2-XL-mp,0.15332118723692933
2,language,GPT2-XL-sp,0.14448256375086693
2,language,OASM,0.5545109546296373
3,language,GPT2-XL,0.06880374701300496
3,language,GPT2-XL-mp,0.13694989091328058
3,language,GPT2-XL-sp,0.12466763563646206
3,language,OASM,0.42056180124917814
4,language,GPT2-XL,0.07187808644459064
4,language,GPT2-XL-mp,0.12825021852811314
4,language,GPT2-XL-sp,0.12987773312757614
4,language,OASM,0.47887921684000095
