subjects,Network,Model,perf
1,language,GPT2-XL,0.05893580248437271
1,language,GPT2-XL-mp,0.0633702443430582
1,language,GPT2-XL-sp,0.07085719643581447
1,language,OASM,4.4916640228861694e-05
2,language,GPT2-XL,0.016697848477037966
2,language,GPT2-XL-mp,0.01641358235915688
2,language,GPT2-XL-sp,0.017723541422951974
2,language,OASM,0.001494368089994716
3,language,GPT2-XL,0.09558375661211564
3,language,GPT2-XL-mp,0.09792982130274243
3,language,GPT2-XL-sp,0.10268234052490838
3,language,OASM,0.00010043133896784105
4,language,GPT2-XL,0.049375417441743154
4,language,GPT2-XL-mp,0.050943788479084456
4,language,GPT2-XL-sp,0.04890682903619962
4,language,OASM,0.0
5,language,GPT2-XL,0.033205774085112515
5,language,GPT2-XL-mp,0.03662890979923464
5,language,GPT2-XL-sp,0.038081205918668266
5,language,OASM,0.0
