subjects,Network,Model,perf
1,language,GPT2-XL,0.0
1,language,GPT2-XL-mp,0.0
1,language,GPT2-XL-sp,0.0
1,language,OASM,0.0
2,language,GPT2-XL,0.0
2,language,GPT2-XL-mp,0.0
2,language,GPT2-XL-sp,0.0
2,language,OASM,0.00019127159167942054
3,language,GPT2-XL,0.0
3,language,GPT2-XL-mp,0.0
3,language,GPT2-XL-sp,0.0
3,language,OASM,0.0
4,language,GPT2-XL,0.0
4,language,GPT2-XL-mp,0.0
4,language,GPT2-XL-sp,0.0
4,language,OASM,0.0
5,language,GPT2-XL,0.0
5,language,GPT2-XL-mp,0.0
5,language,GPT2-XL-sp,0.0
5,language,OASM,7.938827450327319e-05
