subjects,Network,Model,perf
1,language,GPT2-XL,0.0
1,language,GPT2-XL-mp,0.0
1,language,GPT2-XL-sp,0.0
1,language,OASM,8.652604637510519e-10
2,language,GPT2-XL,0.0
2,language,GPT2-XL-mp,0.0
2,language,GPT2-XL-sp,0.0
2,language,OASM,0.0
3,language,GPT2-XL,0.0
3,language,GPT2-XL-mp,0.0
3,language,GPT2-XL-sp,0.0
3,language,OASM,1.4364201309883622e-09
4,language,GPT2-XL,0.0
4,language,GPT2-XL-mp,0.0
4,language,GPT2-XL-sp,0.0
4,language,OASM,0.0
5,language,GPT2-XL,0.0
5,language,GPT2-XL-mp,0.0
5,language,GPT2-XL-sp,0.0
5,language,OASM,0.0
