subjects,Network,Model,perf
1,language,GPT2-XL,0.13507026847365594
1,language,GPT2-XL-mp,0.14914582220828834
1,language,GPT2-XL-sp,0.13131773752353393
1,language,OASM,0.17653816899887798
2,language,GPT2-XL,0.034642283834861384
2,language,GPT2-XL-mp,0.0329339841605924
2,language,GPT2-XL-sp,0.026938463684752723
2,language,OASM,0.025248300659493517
3,language,GPT2-XL,0.1381112540878976
3,language,GPT2-XL-mp,0.14925267454611119
3,language,GPT2-XL-sp,0.1490033547868833
3,language,OASM,0.06818591669905086
4,language,GPT2-XL,0.06766865997061403
4,language,GPT2-XL-mp,0.07034292655668899
4,language,GPT2-XL-sp,0.061166494535222965
4,language,OASM,0.05019042009673212
5,language,GPT2-XL,0.05174748114986473
5,language,GPT2-XL-mp,0.05829276751285087
5,language,GPT2-XL-sp,0.056476774788772076
5,language,OASM,0.07749532468950487
