subjects,Network,Model,perf
1,language,GPT2-XL,0.3168968363928231
1,language,GPT2-XL-mp,0.31766853742058004
1,language,GPT2-XL-sp,0.31041673764634103
1,language,OASM,0.426894626847172
2,language,GPT2-XL,0.10572651388237156
2,language,GPT2-XL-mp,0.113516992463124
2,language,GPT2-XL-sp,0.1098970600582429
2,language,OASM,0.16060401094344676
3,language,GPT2-XL,0.34295346305948127
3,language,GPT2-XL-mp,0.3350315877609023
3,language,GPT2-XL-sp,0.3210072807587086
3,language,OASM,0.28924526214225704
4,language,GPT2-XL,0.19933494224576057
4,language,GPT2-XL-mp,0.19398661955417362
4,language,GPT2-XL-sp,0.17674708061472127
4,language,OASM,0.23011072767479118
5,language,GPT2-XL,0.15604759682944516
5,language,GPT2-XL-mp,0.15671995709586425
5,language,GPT2-XL-sp,0.15819955446184533
5,language,OASM,0.2569441263248705
