subjects,Network,Model,perf
018,language,GPT2-XL,0.01782957726449156
018,language,GPT2-XL-mp,0.012735255640590054
018,language,GPT2-XL-sp,0.018433481207977102
018,language,OASM,0.0
199,language,GPT2-XL,0.0
199,language,GPT2-XL-mp,0.0
199,language,GPT2-XL-sp,0.0
199,language,OASM,0.00021292172008729288
215,language,GPT2-XL,0.0022148032010942905
215,language,GPT2-XL-mp,0.006582015501751117
215,language,GPT2-XL-sp,0.01276596074811218
215,language,OASM,0.0
288,language,GPT2-XL,0.0
288,language,GPT2-XL-mp,0.0
288,language,GPT2-XL-sp,0.0
288,language,OASM,4.8145353050290595e-05
289,language,GPT2-XL,0.05652534472966114
289,language,GPT2-XL-mp,0.054583973147399545
289,language,GPT2-XL-sp,0.06907200447881799
289,language,OASM,1.853321965655952e-05
296,language,GPT2-XL,0.017653594629821027
296,language,GPT2-XL-mp,0.016929281557465165
296,language,GPT2-XL-sp,0.02217811437437285
296,language,OASM,7.194074588678741e-05
343,language,GPT2-XL,0.0501866282771182
343,language,GPT2-XL-mp,0.0531379820056054
343,language,GPT2-XL-sp,0.05446420467924788
343,language,OASM,0.0
366,language,GPT2-XL,0.005387159693882093
366,language,GPT2-XL-mp,0.01116711774714779
366,language,GPT2-XL-sp,0.013022982313055684
366,language,OASM,1.2024904340324748e-05
407,language,GPT2-XL,0.007216357603613387
407,language,GPT2-XL-mp,0.008580147275684727
407,language,GPT2-XL-sp,0.004637468245259843
407,language,OASM,0.0
426,language,GPT2-XL,0.07494546291388891
426,language,GPT2-XL-mp,0.055992095754817915
426,language,GPT2-XL-sp,0.07130042072949919
426,language,OASM,3.329721198008391e-05
