subjects,Network,Model,perf
018,language,GPT2-XL,0.0
018,language,GPT2-XL-mp,0.0
018,language,GPT2-XL-sp,0.0
018,language,OASM,0.00013712370245854165
199,language,GPT2-XL,0.0
199,language,GPT2-XL-mp,0.0
199,language,GPT2-XL-sp,0.0
199,language,OASM,0.0
215,language,GPT2-XL,0.0
215,language,GPT2-XL-mp,0.0
215,language,GPT2-XL-sp,0.0
215,language,OASM,0.00027061431992176114
288,language,GPT2-XL,0.0
288,language,GPT2-XL-mp,0.0
288,language,GPT2-XL-sp,0.0
288,language,OASM,0.0002540038646856404
289,language,GPT2-XL,0.0
289,language,GPT2-XL-mp,0.0
289,language,GPT2-XL-sp,0.0
289,language,OASM,0.00021867556377688446
296,language,GPT2-XL,0.0
296,language,GPT2-XL-mp,0.0
296,language,GPT2-XL-sp,0.0
296,language,OASM,9.794261148478034e-05
343,language,GPT2-XL,0.0
343,language,GPT2-XL-mp,0.0
343,language,GPT2-XL-sp,0.0
343,language,OASM,0.0011908232338693147
366,language,GPT2-XL,0.0
366,language,GPT2-XL-mp,0.0
366,language,GPT2-XL-sp,0.0
366,language,OASM,0.0002921987359743606
407,language,GPT2-XL,0.0
407,language,GPT2-XL-mp,0.0
407,language,GPT2-XL-sp,0.0
407,language,OASM,0.00022591117807268997
426,language,GPT2-XL,0.0
426,language,GPT2-XL-mp,0.0
426,language,GPT2-XL-sp,0.0
426,language,OASM,2.8067190836788274e-05
