subjects,Network,Model,perf
018,language,GPT2-XL,0.0
018,language,GPT2-XL-mp,0.0
018,language,GPT2-XL-sp,0.0
018,language,OASM,0.009554311039413284
199,language,GPT2-XL,0.0
199,language,GPT2-XL-mp,0.0
199,language,GPT2-XL-sp,0.0
199,language,OASM,0.09730738515925486
215,language,GPT2-XL,0.0
215,language,GPT2-XL-mp,0.0
215,language,GPT2-XL-sp,0.0
215,language,OASM,2.6449532770981708e-09
288,language,GPT2-XL,0.0004837951014241119
288,language,GPT2-XL-mp,0.0
288,language,GPT2-XL-sp,0.0
288,language,OASM,0.031623160826366556
289,language,GPT2-XL,0.01718562381519639
289,language,GPT2-XL-mp,0.0
289,language,GPT2-XL-sp,0.0
289,language,OASM,0.02802774101439617
296,language,GPT2-XL,0.03379114768879937
296,language,GPT2-XL-mp,0.0
296,language,GPT2-XL-sp,0.0
296,language,OASM,0.04873551006274233
343,language,GPT2-XL,0.07266471252187708
343,language,GPT2-XL-mp,0.0
343,language,GPT2-XL-sp,0.0
343,language,OASM,0.06895911361133397
366,language,GPT2-XL,0.07704743193996287
366,language,GPT2-XL-mp,0.0
366,language,GPT2-XL-sp,0.0
366,language,OASM,0.11952201087311652
407,language,GPT2-XL,0.11355853913383494
407,language,GPT2-XL-mp,0.0
407,language,GPT2-XL-sp,0.0
407,language,OASM,0.18706282334165203
426,language,GPT2-XL,0.014719539100700531
426,language,GPT2-XL-mp,0.0
426,language,GPT2-XL-sp,0.0
426,language,OASM,0.003391809292776145
