subjects,Network,Model,perf
018,language,GPT2-XL,0.11890617351011563
018,language,GPT2-XL-mp,0.08585145323046539
018,language,GPT2-XL-sp,0.09136043633534471
018,language,OASM,0.1487389292938397
199,language,GPT2-XL,0.12067157625613413
199,language,GPT2-XL-mp,0.08651313877052029
199,language,GPT2-XL-sp,0.09258966471039731
199,language,OASM,0.19568842454489493
215,language,GPT2-XL,0.0858837969273786
215,language,GPT2-XL-mp,0.10236179826051031
215,language,GPT2-XL-sp,0.10467484858495922
215,language,OASM,0.0918407005875812
288,language,GPT2-XL,0.11714526332967637
288,language,GPT2-XL-mp,0.0794526954310468
288,language,GPT2-XL-sp,0.07667361554718043
288,language,OASM,0.1846611980440837
289,language,GPT2-XL,0.1633132069329825
289,language,GPT2-XL-mp,0.12960660709162208
289,language,GPT2-XL-sp,0.13984146754154092
289,language,OASM,0.15508164586696482
296,language,GPT2-XL,0.1811203089891721
296,language,GPT2-XL-mp,0.12598111534106152
296,language,GPT2-XL-sp,0.1248679140370445
296,language,OASM,0.19403577698237312
343,language,GPT2-XL,0.20168730693584477
343,language,GPT2-XL-mp,0.13592978571200104
343,language,GPT2-XL-sp,0.13288120142097132
343,language,OASM,0.17592945261844217
366,language,GPT2-XL,0.19535779479023935
366,language,GPT2-XL-mp,0.1395584424457708
366,language,GPT2-XL-sp,0.13713922637908044
366,language,OASM,0.2174569397439741
407,language,GPT2-XL,0.2002461743987875
407,language,GPT2-XL-mp,0.1313496733859418
407,language,GPT2-XL-sp,0.13825128391955935
407,language,OASM,0.2660615079142564
426,language,GPT2-XL,0.15478609523841946
426,language,GPT2-XL-mp,0.14401271585278513
426,language,GPT2-XL-sp,0.16171976467887206
426,language,OASM,0.1360840092653552
