subjects,Network,Model,perf
018,language,GPT2-XL,0.10008298094127929
018,language,GPT2-XL-mp,0.0697612907075596
018,language,GPT2-XL-sp,0.0683664155029973
018,language,OASM,0.0
199,language,GPT2-XL,0.025964453326903954
199,language,GPT2-XL-mp,0.00881062642629854
199,language,GPT2-XL-sp,0.010536569078089135
199,language,OASM,0.0
215,language,GPT2-XL,0.09598744055316136
215,language,GPT2-XL-mp,0.15840830407148174
215,language,GPT2-XL-sp,0.15178482113356412
215,language,OASM,0.0
288,language,GPT2-XL,0.019073899788892547
288,language,GPT2-XL-mp,0.029934019156297953
288,language,GPT2-XL-sp,0.032276933373885444
288,language,OASM,0.0
289,language,GPT2-XL,0.1264150269690764
289,language,GPT2-XL-mp,0.16208464400080225
289,language,GPT2-XL-sp,0.16437636069430397
289,language,OASM,0.0
296,language,GPT2-XL,0.0930258141662875
296,language,GPT2-XL-mp,0.07696001746465073
296,language,GPT2-XL-sp,0.07456110213187898
296,language,OASM,0.0
343,language,GPT2-XL,0.14790745555730683
343,language,GPT2-XL-mp,0.11290740676702553
343,language,GPT2-XL-sp,0.10858650762742166
343,language,OASM,0.0
366,language,GPT2-XL,0.11167479024134525
366,language,GPT2-XL-mp,0.06144581018466843
366,language,GPT2-XL-sp,0.059984359359919
366,language,OASM,0.0
407,language,GPT2-XL,0.014431883307954817
407,language,GPT2-XL-mp,0.055639611882142406
407,language,GPT2-XL-sp,0.0580174368851373
407,language,OASM,0.0
426,language,GPT2-XL,0.1862605272092574
426,language,GPT2-XL-mp,0.18239733010652648
426,language,GPT2-XL-sp,0.1982499632167651
426,language,OASM,0.0
