subjects,Network,Model,perf
018,language,GPT2-XL,0.34406987118801746
018,language,GPT2-XL-mp,0.2693808450625069
018,language,GPT2-XL-sp,0.27486123619084024
018,language,OASM,0.3853234947214132
199,language,GPT2-XL,0.3727925919744382
199,language,GPT2-XL-mp,0.2810072159748145
199,language,GPT2-XL-sp,0.2795530786910807
199,language,OASM,0.4384684081770928
215,language,GPT2-XL,0.34037668284299755
215,language,GPT2-XL-mp,0.29267202221921695
215,language,GPT2-XL-sp,0.27942561767960367
215,language,OASM,0.3950265921817257
288,language,GPT2-XL,0.37609518303565426
288,language,GPT2-XL-mp,0.3033577163094354
288,language,GPT2-XL-sp,0.29904014837663506
288,language,OASM,0.4827315107571706
289,language,GPT2-XL,0.38878281248382385
289,language,GPT2-XL-mp,0.32388415509289337
289,language,GPT2-XL-sp,0.32448215696905913
289,language,OASM,0.40966579012394505
296,language,GPT2-XL,0.42091665590312133
296,language,GPT2-XL-mp,0.3380458737728821
296,language,GPT2-XL-sp,0.33635069039899945
296,language,OASM,0.47328984417528586
343,language,GPT2-XL,0.44248009501493546
343,language,GPT2-XL-mp,0.3198406463261677
343,language,GPT2-XL-sp,0.3116480901999082
343,language,OASM,0.5322155166104305
366,language,GPT2-XL,0.4428439618739757
366,language,GPT2-XL-mp,0.3760432448754156
366,language,GPT2-XL-sp,0.3612934932592691
366,language,OASM,0.4864208704733242
407,language,GPT2-XL,0.47206676630404387
407,language,GPT2-XL-mp,0.3002062284576091
407,language,GPT2-XL-sp,0.3197650442067294
407,language,OASM,0.4924656627606539
426,language,GPT2-XL,0.39391736160313945
426,language,GPT2-XL-mp,0.333893212611466
426,language,GPT2-XL-sp,0.33705078927834664
426,language,OASM,0.4032514292659689
