,fe,subject,pval,pval_LLM_sig,pval_orig,shuffled,network
0,-lt,018,0.10089314377540833,1.0244165307388262e-05,0.010327059635332664,shuffled,language
1,-lt,018,0.16239665096043188,2.2044724655163594e-05,0.024754128681008392,shuffled,language
2,-lt,018,0.7549644269506671,0.00023312033883303,0.490337720596825,shuffled,language
3,-lt,018,0.25101716525685525,0.00011927459391613145,0.06345928970627497,shuffled,language
4,-lt,018,0.8184728650852652,0.018375826783063775,0.5841743239137005,shuffled,language
5,-lt,018,1.0,1.0,1.0,shuffled,language
6,-lt,018,0.24103956345346492,0.00023596204982081616,0.058396182898519854,shuffled,language
7,-lt,018,0.8489052186201216,0.018532181717833177,0.6321676176546662,shuffled,language
8,-lt,018,1.0,1.0,1.0,shuffled,language
9,-lt,018,0.20785956661472854,0.00042519355726130067,0.0451535877403129,shuffled,language
10,-lt,018,1.0,1.0,1.0,shuffled,language
11,-lt,018,0.9652312354380743,0.0017839946483405988,0.8439639529484099,shuffled,language
12,-lt,018,0.2611195573039591,0.000854285949567135,0.06969437747891355,shuffled,language
13,-lt,018,1.0,1.0,1.0,shuffled,language
14,-lt,018,0.9923247530156896,0.0038855276955876866,0.9100579254175583,shuffled,language
15,-lt,018,1.0,1.0,1.0,shuffled,language
16,-lt,018,1.0,1.0,1.0,shuffled,language
17,-lt,018,0.952598805174218,0.0018648781701097006,0.8212613585959208,shuffled,language
18,-lt,018,0.5362212492009445,6.093185548524194e-05,0.25389562830354,shuffled,language
19,-lt,018,0.8531769568810138,0.0005377360078596523,0.6428680911379265,shuffled,language
20,-lt,018,0.1091436318017486,0.0011477958584273484,0.012136000296070721,shuffled,language
21,-lt,018,0.8184728650852652,0.00015744567580281479,0.5794264783883256,shuffled,language
22,-lt,018,0.37445553273839743,0.0025435210984417235,0.13334822593547638,shuffled,language
23,-lt,018,0.5977322070973243,0.04247221679546875,0.31691251039033397,shuffled,language
24,-lt,018,1.0,1.0,1.0,shuffled,language
25,-lt,018,0.6598898733949935,0.00032642212120163487,0.38631255474891,shuffled,language
26,-lt,018,0.2816877096164594,0.0005843825103201796,0.08089791078084843,shuffled,language
27,-lt,018,1.0,1.0,1.0,shuffled,language
28,-lt,018,0.35477567064847565,3.012907173885012e-05,0.12174187225492611,shuffled,language
29,-lt,018,0.5551767292173821,0.0030962924120999445,0.2680167772652392,shuffled,language
30,-lt,018,0.6691811426590742,0.00042519355726130067,0.39520123447170663,shuffled,language
31,-lt,018,0.6917613604947811,6.979270967814123e-05,0.42084353119908674,shuffled,language
32,-lt,018,1.0,0.009098014909730242,0.9722191320598472,shuffled,language
33,-lt,018,0.9107168588788613,0.024173487014679224,0.747251074424859,shuffled,language
34,-lt,018,1.0,0.01904040378367303,0.9680360238818031,shuffled,language
35,-lt,018,0.8982263284367954,0.0007235188901492972,0.7295060180482764,shuffled,language
36,-lt,018,0.8284547556684931,2.9001902482142266e-05,0.5996841125347045,shuffled,language
37,-lt,018,0.6819797562207056,2.479866140508781e-06,0.41179926369733333,shuffled,language
