,feature_extraction,dataset,values
0,-lt,pereira,91.8605915797898
1,-lt,pereira,100.0
2,-lt,pereira,79.18290622445735
3,-lt,pereira,100.0
4,-lt,pereira,75.45426951004124
5,-lt,pereira,89.37972498603331
6,-lt,pereira,69.06204655100247
7,-lt,pereira,92.54186972580882
8,-lt,pereira,93.50913584871799
9,-lt,pereira,78.83523574967612
10,-mp,pereira,88.9333733761946
11,-mp,pereira,100.0
12,-mp,pereira,70.22630027450862
13,-mp,pereira,99.55509189339328
14,-mp,pereira,73.12245369405632
15,-mp,pereira,86.0752432196896
16,-mp,pereira,64.82338946166759
17,-mp,pereira,90.10676162223415
18,-mp,pereira,93.4583002656118
19,-mp,pereira,77.28691404908062
20,-sp,pereira,83.07538142937558
21,-sp,pereira,100.0
22,-sp,pereira,69.82313302306974
23,-sp,pereira,92.97104845407415
24,-sp,pereira,62.14312717421794
25,-sp,pereira,83.12830754028816
26,-sp,pereira,63.87836791941795
27,-sp,pereira,90.32785318866479
28,-sp,pereira,94.36866487680167
29,-sp,pereira,66.49423921168814
30,-lt,blank,100.0
31,-lt,blank,100.0
32,-lt,blank,100.0
33,-lt,blank,100.0
34,-lt,blank,100.0
35,-mp,blank,97.25642693910015
36,-mp,blank,100.0
37,-mp,blank,100.0
38,-mp,blank,100.0
39,-mp,blank,100.0
40,-sp,blank,98.4381565797444
41,-sp,blank,100.0
42,-sp,blank,100.0
43,-sp,blank,100.0
44,-sp,blank,100.0
45,-lt,fedorenko,69.39312110753724
46,-lt,fedorenko,70.52480587230949
47,-lt,fedorenko,44.43065532236642
48,-lt,fedorenko,66.29169838230737
49,-lt,fedorenko,55.5115269436975
50,-mp,fedorenko,68.29183283399269
51,-mp,fedorenko,60.29812685057882
52,-mp,fedorenko,43.48079110841654
53,-mp,fedorenko,66.6871630858747
54,-mp,fedorenko,54.1263165857089
55,-sp,fedorenko,65.06507005852038
56,-sp,fedorenko,61.615620525374545
57,-sp,fedorenko,45.42032230286035
58,-sp,fedorenko,69.73393284547353
59,-sp,fedorenko,51.897166045516705
