,perf,Model,Shuffled,layer_num,Exp
148,0.006355803091226594,GPT2-XL,,0,384
151,0.017136519452835244,GPT2-XL,,1,384
154,0.017432219419197145,GPT2-XL,,2,384
157,0.019336688006319276,GPT2-XL,,3,384
160,0.020473159870561926,GPT2-XL,,4,384
163,0.021664692258671195,GPT2-XL,,5,384
166,0.02270744999598819,GPT2-XL,,6,384
169,0.023025888366377138,GPT2-XL,,7,384
172,0.023549199701475905,GPT2-XL,,8,384
175,0.023266113888203595,GPT2-XL,,9,384
178,0.023474918229894653,GPT2-XL,,10,384
181,0.02424358158255495,GPT2-XL,,11,384
184,0.02601339276054336,GPT2-XL,,12,384
187,0.02712808219290213,GPT2-XL,,13,384
190,0.0274730629252201,GPT2-XL,,14,384
193,0.02740344533748395,GPT2-XL,,15,384
196,0.02683128351861411,GPT2-XL,,16,384
199,0.027351240420314324,GPT2-XL,,17,384
202,0.02819887660887943,GPT2-XL,,18,384
205,0.027744465481440918,GPT2-XL,,19,384
208,0.02828967398555313,GPT2-XL,,20,384
211,0.029029930776728257,GPT2-XL,,21,384
214,0.027722340438490645,GPT2-XL,,22,384
217,0.027523184330760557,GPT2-XL,,23,384
220,0.026771470680460485,GPT2-XL,,24,384
223,0.026087329500121565,GPT2-XL,,25,384
226,0.024805158043761478,GPT2-XL,,26,384
229,0.023694374334342756,GPT2-XL,,27,384
232,0.023254949281560744,GPT2-XL,,28,384
235,0.022995471231217708,GPT2-XL,,29,384
238,0.02215585050381686,GPT2-XL,,30,384
241,0.022406994296003187,GPT2-XL,,31,384
244,0.022118688239665223,GPT2-XL,,32,384
247,0.021366422381674285,GPT2-XL,,33,384
250,0.02062639963950129,GPT2-XL,,34,384
253,0.019511769558953777,GPT2-XL,,35,384
256,0.018724496378947585,GPT2-XL,,36,384
259,0.01813160438662692,GPT2-XL,,37,384
262,0.018120262427940983,GPT2-XL,,38,384
265,0.017388977133098407,GPT2-XL,,39,384
268,0.016975057020943762,GPT2-XL,,40,384
271,0.016293703033732912,GPT2-XL,,41,384
274,0.0159371468940126,GPT2-XL,,42,384
277,0.015724061345245215,GPT2-XL,,43,384
280,0.015400680128985711,GPT2-XL,,44,384
283,0.014814442333962514,GPT2-XL,,45,384
286,0.014851538243855877,GPT2-XL,,46,384
289,0.014880185067451998,GPT2-XL,,47,384
292,0.01756459030857464,GPT2-XL,,48,384
442,0.019071256969206363,GPT2-XL-mp,,0,384
445,0.017458577345011727,GPT2-XL-mp,,1,384
448,0.0184566142686624,GPT2-XL-mp,,2,384
451,0.018553965727997345,GPT2-XL-mp,,3,384
454,0.01909676537014176,GPT2-XL-mp,,4,384
457,0.01984916172835205,GPT2-XL-mp,,5,384
460,0.021383491306025324,GPT2-XL-mp,,6,384
463,0.02248845253529373,GPT2-XL-mp,,7,384
466,0.02313789314060068,GPT2-XL-mp,,8,384
469,0.023692150873148816,GPT2-XL-mp,,9,384
472,0.024058399372891608,GPT2-XL-mp,,10,384
475,0.02484148809221664,GPT2-XL-mp,,11,384
478,0.0254098353642276,GPT2-XL-mp,,12,384
481,0.025675170716643506,GPT2-XL-mp,,13,384
484,0.026343701615377215,GPT2-XL-mp,,14,384
487,0.026482261294922142,GPT2-XL-mp,,15,384
490,0.027016121964141302,GPT2-XL-mp,,16,384
493,0.02684931072177975,GPT2-XL-mp,,17,384
496,0.027033908910705298,GPT2-XL-mp,,18,384
499,0.026552096886848106,GPT2-XL-mp,,19,384
502,0.026753995223656495,GPT2-XL-mp,,20,384
505,0.027259105057120994,GPT2-XL-mp,,21,384
508,0.02676185663244658,GPT2-XL-mp,,22,384
511,0.026799427733279986,GPT2-XL-mp,,23,384
514,0.026701678343343218,GPT2-XL-mp,,24,384
517,0.026727143172520538,GPT2-XL-mp,,25,384
520,0.026336317400213013,GPT2-XL-mp,,26,384
523,0.026115653293157706,GPT2-XL-mp,,27,384
526,0.02623216353049055,GPT2-XL-mp,,28,384
529,0.02621556132599277,GPT2-XL-mp,,29,384
532,0.025290108961906074,GPT2-XL-mp,,30,384
535,0.02484942337031348,GPT2-XL-mp,,31,384
538,0.02358642902311688,GPT2-XL-mp,,32,384
541,0.02301289723921157,GPT2-XL-mp,,33,384
544,0.022545325371971223,GPT2-XL-mp,,34,384
547,0.021215919141554594,GPT2-XL-mp,,35,384
550,0.020770996183070864,GPT2-XL-mp,,36,384
553,0.020885758958462914,GPT2-XL-mp,,37,384
556,0.02064695322168372,GPT2-XL-mp,,38,384
559,0.01968705343955426,GPT2-XL-mp,,39,384
562,0.018775463024238968,GPT2-XL-mp,,40,384
565,0.01817701777837903,GPT2-XL-mp,,41,384
568,0.017976635160117826,GPT2-XL-mp,,42,384
571,0.017753809267903063,GPT2-XL-mp,,43,384
574,0.017448913935795174,GPT2-XL-mp,,44,384
577,0.01734293320049332,GPT2-XL-mp,,45,384
580,0.017141873236553393,GPT2-XL-mp,,46,384
583,0.01662741526126996,GPT2-XL-mp,,47,384
586,0.017644128087222006,GPT2-XL-mp,,48,384
736,0.02005579638411841,GPT2-XL-sp,,0,384
739,0.017533577385774306,GPT2-XL-sp,,1,384
742,0.018679928654285093,GPT2-XL-sp,,2,384
745,0.019025447510616456,GPT2-XL-sp,,3,384
748,0.01979331719470333,GPT2-XL-sp,,4,384
751,0.02086309703581431,GPT2-XL-sp,,5,384
754,0.02251577374040782,GPT2-XL-sp,,6,384
757,0.023536777402647393,GPT2-XL-sp,,7,384
760,0.024335859516272738,GPT2-XL-sp,,8,384
763,0.024991648774191424,GPT2-XL-sp,,9,384
766,0.025541611703815296,GPT2-XL-sp,,10,384
769,0.02631213532959847,GPT2-XL-sp,,11,384
772,0.026784281287886635,GPT2-XL-sp,,12,384
775,0.026918830568154313,GPT2-XL-sp,,13,384
778,0.02747059561042373,GPT2-XL-sp,,14,384
781,0.027609541181483174,GPT2-XL-sp,,15,384
784,0.027730033086072414,GPT2-XL-sp,,16,384
787,0.02753043302741477,GPT2-XL-sp,,17,384
790,0.027616796106608527,GPT2-XL-sp,,18,384
793,0.02721631741962699,GPT2-XL-sp,,19,384
796,0.02749021247954618,GPT2-XL-sp,,20,384
799,0.027808530130584954,GPT2-XL-sp,,21,384
802,0.02721638068066201,GPT2-XL-sp,,22,384
805,0.027164804190136917,GPT2-XL-sp,,23,384
808,0.026922850989931777,GPT2-XL-sp,,24,384
811,0.027049501381994738,GPT2-XL-sp,,25,384
814,0.026727424988903077,GPT2-XL-sp,,26,384
817,0.026434126410787726,GPT2-XL-sp,,27,384
820,0.026504573508843284,GPT2-XL-sp,,28,384
823,0.026604901595122396,GPT2-XL-sp,,29,384
826,0.025350418705740188,GPT2-XL-sp,,30,384
829,0.024837668175849467,GPT2-XL-sp,,31,384
832,0.0233912454492858,GPT2-XL-sp,,32,384
835,0.02279815644375624,GPT2-XL-sp,,33,384
838,0.022353830968945734,GPT2-XL-sp,,34,384
841,0.020984758911308285,GPT2-XL-sp,,35,384
844,0.02043928485280647,GPT2-XL-sp,,36,384
847,0.0205583407216043,GPT2-XL-sp,,37,384
850,0.020400378182612793,GPT2-XL-sp,,38,384
853,0.019378728273961775,GPT2-XL-sp,,39,384
856,0.018458367306187037,GPT2-XL-sp,,40,384
859,0.017915592700971664,GPT2-XL-sp,,41,384
862,0.017749497889311665,GPT2-XL-sp,,42,384
865,0.017460227875663877,GPT2-XL-sp,,43,384
868,0.017076068179167014,GPT2-XL-sp,,44,384
871,0.017157469443447166,GPT2-XL-sp,,45,384
874,0.01717524943036293,GPT2-XL-sp,,46,384
877,0.016841750453772498,GPT2-XL-sp,,47,384
880,0.017941720326179054,GPT2-XL-sp,,48,384
