,perf,Model,Shuffled,layer_num,Exp
149,0.004822786241492212,GPT2-XL,,0,Combined
152,0.011418141195469333,GPT2-XL,,1,Combined
155,0.012033163688744755,GPT2-XL,,2,Combined
158,0.013477751350048722,GPT2-XL,,3,Combined
161,0.014601174868768791,GPT2-XL,,4,Combined
164,0.015634355931801618,GPT2-XL,,5,Combined
167,0.015398417437257977,GPT2-XL,,6,Combined
170,0.016515078688669232,GPT2-XL,,7,Combined
173,0.0171107790668556,GPT2-XL,,8,Combined
176,0.016813559369746857,GPT2-XL,,9,Combined
179,0.01652326583270493,GPT2-XL,,10,Combined
182,0.01670230064432005,GPT2-XL,,11,Combined
185,0.01789757779598997,GPT2-XL,,12,Combined
188,0.01909743268017746,GPT2-XL,,13,Combined
191,0.02058041558784594,GPT2-XL,,14,Combined
194,0.021694553507719046,GPT2-XL,,15,Combined
197,0.02152351752954284,GPT2-XL,,16,Combined
200,0.021378767932958415,GPT2-XL,,17,Combined
203,0.02125805450133376,GPT2-XL,,18,Combined
206,0.020593005908534495,GPT2-XL,,19,Combined
209,0.021008772785307002,GPT2-XL,,20,Combined
212,0.021589193592242335,GPT2-XL,,21,Combined
215,0.019920994715563065,GPT2-XL,,22,Combined
218,0.018959259515865738,GPT2-XL,,23,Combined
221,0.018213822365970044,GPT2-XL,,24,Combined
224,0.017326846577811354,GPT2-XL,,25,Combined
227,0.016470915381800365,GPT2-XL,,26,Combined
230,0.015821147455619886,GPT2-XL,,27,Combined
233,0.015431099086248156,GPT2-XL,,28,Combined
236,0.014797115603189947,GPT2-XL,,29,Combined
239,0.013722536398783111,GPT2-XL,,30,Combined
242,0.013208723750748441,GPT2-XL,,31,Combined
245,0.01233065983418805,GPT2-XL,,32,Combined
248,0.011604784406150707,GPT2-XL,,33,Combined
251,0.010784477027745812,GPT2-XL,,34,Combined
254,0.009845570242641252,GPT2-XL,,35,Combined
257,0.009092089932149456,GPT2-XL,,36,Combined
260,0.008637267963859854,GPT2-XL,,37,Combined
263,0.008613158487377566,GPT2-XL,,38,Combined
266,0.007872835113150203,GPT2-XL,,39,Combined
269,0.0072381020849237145,GPT2-XL,,40,Combined
272,0.006743205280874118,GPT2-XL,,41,Combined
275,0.006336558478737412,GPT2-XL,,42,Combined
278,0.006072644230926097,GPT2-XL,,43,Combined
281,0.005692811007986647,GPT2-XL,,44,Combined
284,0.005302585291826294,GPT2-XL,,45,Combined
287,0.005127930056440262,GPT2-XL,,46,Combined
290,0.004952604185697094,GPT2-XL,,47,Combined
293,0.008856510221870614,GPT2-XL,,48,Combined
443,0.01309296387787286,GPT2-XL-mp,,0,Combined
446,0.011271081368807653,GPT2-XL-mp,,1,Combined
449,0.012375432900531004,GPT2-XL-mp,,2,Combined
452,0.012776265346090374,GPT2-XL-mp,,3,Combined
455,0.013348616998292406,GPT2-XL-mp,,4,Combined
458,0.01371382028146496,GPT2-XL-mp,,5,Combined
461,0.015133259347838207,GPT2-XL-mp,,6,Combined
464,0.016384077891850656,GPT2-XL-mp,,7,Combined
467,0.01666775165873393,GPT2-XL-mp,,8,Combined
470,0.017005913131525052,GPT2-XL-mp,,9,Combined
473,0.017238772035765747,GPT2-XL-mp,,10,Combined
476,0.01807648514882771,GPT2-XL-mp,,11,Combined
479,0.019051638878369033,GPT2-XL-mp,,12,Combined
482,0.020011412082200974,GPT2-XL-mp,,13,Combined
485,0.020431254440968997,GPT2-XL-mp,,14,Combined
488,0.02064831804811525,GPT2-XL-mp,,15,Combined
491,0.020947540421561148,GPT2-XL-mp,,16,Combined
494,0.020855382976276142,GPT2-XL-mp,,17,Combined
497,0.020738192154200745,GPT2-XL-mp,,18,Combined
500,0.020510650677353096,GPT2-XL-mp,,19,Combined
503,0.02058119139809012,GPT2-XL-mp,,20,Combined
506,0.020564216531541824,GPT2-XL-mp,,21,Combined
509,0.020008874062736836,GPT2-XL-mp,,22,Combined
512,0.0200291789399543,GPT2-XL-mp,,23,Combined
515,0.01968488507954272,GPT2-XL-mp,,24,Combined
518,0.019296433232263453,GPT2-XL-mp,,25,Combined
521,0.018926707090120058,GPT2-XL-mp,,26,Combined
524,0.01847147607811809,GPT2-XL-mp,,27,Combined
527,0.018171047673296508,GPT2-XL-mp,,28,Combined
530,0.018531856537616364,GPT2-XL-mp,,29,Combined
533,0.01755829174216436,GPT2-XL-mp,,30,Combined
536,0.01709572569217403,GPT2-XL-mp,,31,Combined
539,0.015692401824543237,GPT2-XL-mp,,32,Combined
542,0.015221108091995759,GPT2-XL-mp,,33,Combined
545,0.014636287611854426,GPT2-XL-mp,,34,Combined
548,0.013608824560035312,GPT2-XL-mp,,35,Combined
551,0.012858274311643011,GPT2-XL-mp,,36,Combined
554,0.012826883354350718,GPT2-XL-mp,,37,Combined
557,0.012660531928243365,GPT2-XL-mp,,38,Combined
560,0.011636767522900198,GPT2-XL-mp,,39,Combined
563,0.01094366313092102,GPT2-XL-mp,,40,Combined
566,0.01017147245509415,GPT2-XL-mp,,41,Combined
569,0.009992462824798518,GPT2-XL-mp,,42,Combined
572,0.009631269006579282,GPT2-XL-mp,,43,Combined
575,0.00916891334855002,GPT2-XL-mp,,44,Combined
578,0.008939727997929891,GPT2-XL-mp,,45,Combined
581,0.00862123457339676,GPT2-XL-mp,,46,Combined
584,0.008188259599567572,GPT2-XL-mp,,47,Combined
587,0.009740123591837563,GPT2-XL-mp,,48,Combined
737,0.019135019100208865,GPT2-XL-sp,,0,Combined
740,0.015359974711230734,GPT2-XL-sp,,1,Combined
743,0.017438832440454206,GPT2-XL-sp,,2,Combined
746,0.018193480540394984,GPT2-XL-sp,,3,Combined
749,0.018763602822285116,GPT2-XL-sp,,4,Combined
752,0.019402720738138667,GPT2-XL-sp,,5,Combined
755,0.020943233007532654,GPT2-XL-sp,,6,Combined
758,0.02214606126352208,GPT2-XL-sp,,7,Combined
761,0.022424093478917457,GPT2-XL-sp,,8,Combined
764,0.022688752494555615,GPT2-XL-sp,,9,Combined
767,0.022967862762721575,GPT2-XL-sp,,10,Combined
770,0.02365709305270961,GPT2-XL-sp,,11,Combined
