,perf,Model,Shuffled,layer_num,Exp
1,0.004764846431698639,GPT2-XL,shuffled,0,384
4,0.10874260578281876,GPT2-XL,shuffled,1,384
7,0.12028753595433843,GPT2-XL,shuffled,2,384
10,0.1162782578312843,GPT2-XL,shuffled,3,384
13,0.10514870715423824,GPT2-XL,shuffled,4,384
16,0.08953353785996179,GPT2-XL,shuffled,5,384
19,0.08782149813582357,GPT2-XL,shuffled,6,384
22,0.07923796396737541,GPT2-XL,shuffled,7,384
25,0.0733264429639238,GPT2-XL,shuffled,8,384
28,0.06981791330991878,GPT2-XL,shuffled,9,384
31,0.06761704548252638,GPT2-XL,shuffled,10,384
34,0.06458639578194894,GPT2-XL,shuffled,11,384
37,0.06261039421818389,GPT2-XL,shuffled,12,384
40,0.05838175457823959,GPT2-XL,shuffled,13,384
43,0.053880771536077225,GPT2-XL,shuffled,14,384
46,0.05166764578262151,GPT2-XL,shuffled,15,384
49,0.04750858560075252,GPT2-XL,shuffled,16,384
52,0.04800309175948528,GPT2-XL,shuffled,17,384
55,0.05101416646430171,GPT2-XL,shuffled,18,384
58,0.05042828094364407,GPT2-XL,shuffled,19,384
61,0.052281929577325456,GPT2-XL,shuffled,20,384
64,0.054417846785325935,GPT2-XL,shuffled,21,384
67,0.05641327230850171,GPT2-XL,shuffled,22,384
70,0.06023736223034077,GPT2-XL,shuffled,23,384
73,0.06525506272698954,GPT2-XL,shuffled,24,384
76,0.07025820268277409,GPT2-XL,shuffled,25,384
79,0.07343246053209412,GPT2-XL,shuffled,26,384
82,0.08182255098556634,GPT2-XL,shuffled,27,384
85,0.08525695080049836,GPT2-XL,shuffled,28,384
88,0.0930776785037822,GPT2-XL,shuffled,29,384
91,0.10059785820327177,GPT2-XL,shuffled,30,384
94,0.10614291569375822,GPT2-XL,shuffled,31,384
97,0.11434841920390082,GPT2-XL,shuffled,32,384
100,0.11777281814910806,GPT2-XL,shuffled,33,384
103,0.12378414395349312,GPT2-XL,shuffled,34,384
106,0.13119713747480216,GPT2-XL,shuffled,35,384
109,0.1363402336045748,GPT2-XL,shuffled,36,384
112,0.13972870773001755,GPT2-XL,shuffled,37,384
115,0.14279774560133393,GPT2-XL,shuffled,38,384
118,0.14952816825002954,GPT2-XL,shuffled,39,384
121,0.15291656409514492,GPT2-XL,shuffled,40,384
124,0.15686477709732954,GPT2-XL,shuffled,41,384
127,0.15769184294249838,GPT2-XL,shuffled,42,384
130,0.15967703798816912,GPT2-XL,shuffled,43,384
133,0.1628091669486436,GPT2-XL,shuffled,44,384
136,0.16523851920420468,GPT2-XL,shuffled,45,384
139,0.16736911724197748,GPT2-XL,shuffled,46,384
142,0.16850987116210284,GPT2-XL,shuffled,47,384
145,0.17135711207638893,GPT2-XL,shuffled,48,384
295,0.05767968857639764,GPT2-XL-mp,shuffled,0,384
298,0.10631830751759559,GPT2-XL-mp,shuffled,1,384
301,0.10408922330290599,GPT2-XL-mp,shuffled,2,384
304,0.1020248288375004,GPT2-XL-mp,shuffled,3,384
307,0.09773329401269186,GPT2-XL-mp,shuffled,4,384
310,0.09545090095935488,GPT2-XL-mp,shuffled,5,384
313,0.09061543783696978,GPT2-XL-mp,shuffled,6,384
316,0.08695498357876136,GPT2-XL-mp,shuffled,7,384
319,0.08208631386363231,GPT2-XL-mp,shuffled,8,384
322,0.07947000761187654,GPT2-XL-mp,shuffled,9,384
