,perf,Model,Shuffled,layer_num,Exp
2,0.0021495990936774957,GPT2-XL,shuffled,0,Combined
5,0.10076921474549125,GPT2-XL,shuffled,1,Combined
8,0.1135964736636377,GPT2-XL,shuffled,2,Combined
11,0.1079323033982379,GPT2-XL,shuffled,3,Combined
14,0.10005086826232254,GPT2-XL,shuffled,4,Combined
17,0.08593265444561984,GPT2-XL,shuffled,5,Combined
20,0.08411692682835417,GPT2-XL,shuffled,6,Combined
23,0.07565740959479342,GPT2-XL,shuffled,7,Combined
26,0.07037279903189038,GPT2-XL,shuffled,8,Combined
29,0.06715398192355329,GPT2-XL,shuffled,9,Combined
32,0.0651948803004446,GPT2-XL,shuffled,10,Combined
35,0.06411423903832691,GPT2-XL,shuffled,11,Combined
38,0.06346475182257658,GPT2-XL,shuffled,12,Combined
41,0.05943712810430907,GPT2-XL,shuffled,13,Combined
44,0.056830866995801886,GPT2-XL,shuffled,14,Combined
47,0.05584195797767586,GPT2-XL,shuffled,15,Combined
50,0.0524740759189094,GPT2-XL,shuffled,16,Combined
53,0.0526006510013209,GPT2-XL,shuffled,17,Combined
56,0.0551042448758042,GPT2-XL,shuffled,18,Combined
59,0.054441607074336706,GPT2-XL,shuffled,19,Combined
62,0.05737482728691347,GPT2-XL,shuffled,20,Combined
65,0.0583190395911566,GPT2-XL,shuffled,21,Combined
68,0.05874960091247798,GPT2-XL,shuffled,22,Combined
71,0.06259271477403214,GPT2-XL,shuffled,23,Combined
74,0.0667512389980224,GPT2-XL,shuffled,24,Combined
77,0.07076944498415627,GPT2-XL,shuffled,25,Combined
80,0.07459580181760339,GPT2-XL,shuffled,26,Combined
83,0.07947953302801473,GPT2-XL,shuffled,27,Combined
86,0.08125855350495108,GPT2-XL,shuffled,28,Combined
89,0.08736975754799696,GPT2-XL,shuffled,29,Combined
92,0.09115060638994574,GPT2-XL,shuffled,30,Combined
95,0.09576985649719774,GPT2-XL,shuffled,31,Combined
98,0.10197832911085984,GPT2-XL,shuffled,32,Combined
101,0.10472507801531512,GPT2-XL,shuffled,33,Combined
104,0.10924001583896366,GPT2-XL,shuffled,34,Combined
107,0.11583345572700945,GPT2-XL,shuffled,35,Combined
110,0.12000456482286166,GPT2-XL,shuffled,36,Combined
113,0.1234187547024053,GPT2-XL,shuffled,37,Combined
116,0.12608344058944604,GPT2-XL,shuffled,38,Combined
119,0.13310104067216785,GPT2-XL,shuffled,39,Combined
122,0.13587728767659102,GPT2-XL,shuffled,40,Combined
125,0.14015553042187706,GPT2-XL,shuffled,41,Combined
128,0.14083075104060253,GPT2-XL,shuffled,42,Combined
131,0.1421974819793902,GPT2-XL,shuffled,43,Combined
134,0.1453008783541293,GPT2-XL,shuffled,44,Combined
