,perf,Model,Shuffled,layer_num,Exp
148,0.06849033959198532,GPT2-XL,,0,384
151,0.1258426491756458,GPT2-XL,,1,384
154,0.12359952298887444,GPT2-XL,,2,384
157,0.1284899015863136,GPT2-XL,,3,384
160,0.13079887783661828,GPT2-XL,,4,384
163,0.13217537649733374,GPT2-XL,,5,384
166,0.1360168308366284,GPT2-XL,,6,384
169,0.1361087988474478,GPT2-XL,,7,384
172,0.1370829678132811,GPT2-XL,,8,384
175,0.13601631154164703,GPT2-XL,,9,384
178,0.1375451170478078,GPT2-XL,,10,384
181,0.14003536593285615,GPT2-XL,,11,384
184,0.1437922862167091,GPT2-XL,,12,384
187,0.14732349106382825,GPT2-XL,,13,384
190,0.14726020707054202,GPT2-XL,,14,384
193,0.14758307690566913,GPT2-XL,,15,384
196,0.14537836075882893,GPT2-XL,,16,384
199,0.14652608274994983,GPT2-XL,,17,384
202,0.14928164399818178,GPT2-XL,,18,384
205,0.1474431147637649,GPT2-XL,,19,384
208,0.14838016426729453,GPT2-XL,,20,384
211,0.15103556687723987,GPT2-XL,,21,384
214,0.1484566049398396,GPT2-XL,,22,384
217,0.147725488133332,GPT2-XL,,23,384
220,0.14721634099949124,GPT2-XL,,24,384
223,0.14563957312032894,GPT2-XL,,25,384
226,0.14148013105638968,GPT2-XL,,26,384
229,0.13946051044140775,GPT2-XL,,27,384
232,0.13910038851964326,GPT2-XL,,28,384
235,0.1380929968865744,GPT2-XL,,29,384
238,0.13475078538990046,GPT2-XL,,30,384
241,0.13429512874528313,GPT2-XL,,31,384
244,0.13157066272216855,GPT2-XL,,32,384
247,0.1285294355811063,GPT2-XL,,33,384
250,0.12638411640748728,GPT2-XL,,34,384
253,0.12348683097492213,GPT2-XL,,35,384
256,0.12051884078397729,GPT2-XL,,36,384
259,0.11886842603322122,GPT2-XL,,37,384
262,0.11827526634558191,GPT2-XL,,38,384
265,0.11587440564490212,GPT2-XL,,39,384
268,0.11396705722966614,GPT2-XL,,40,384
271,0.11156141399456748,GPT2-XL,,41,384
274,0.11007362455399806,GPT2-XL,,42,384
277,0.10924623693315523,GPT2-XL,,43,384
280,0.10775487922672636,GPT2-XL,,44,384
283,0.10594661269111673,GPT2-XL,,45,384
286,0.10628709858986708,GPT2-XL,,46,384
289,0.10623761371014469,GPT2-XL,,47,384
292,0.1238158522214736,GPT2-XL,,48,384
442,0.1253406323606152,GPT2-XL-mp,,0,384
445,0.11876083155340551,GPT2-XL-mp,,1,384
448,0.12175179920965672,GPT2-XL-mp,,2,384
451,0.12212490066079042,GPT2-XL-mp,,3,384
454,0.12363279581868857,GPT2-XL-mp,,4,384
457,0.12667476202855887,GPT2-XL-mp,,5,384
460,0.13013080754270684,GPT2-XL-mp,,6,384
463,0.13293009611647064,GPT2-XL-mp,,7,384
466,0.135956451256309,GPT2-XL-mp,,8,384
469,0.13828248798777493,GPT2-XL-mp,,9,384
472,0.1393569110257743,GPT2-XL-mp,,10,384
475,0.1422843207159412,GPT2-XL-mp,,11,384
478,0.14461120998964538,GPT2-XL-mp,,12,384
481,0.1461763082245603,GPT2-XL-mp,,13,384
484,0.14759737265654227,GPT2-XL-mp,,14,384
487,0.1492621236356359,GPT2-XL-mp,,15,384
490,0.15004458164047774,GPT2-XL-mp,,16,384
493,0.14949666055515057,GPT2-XL-mp,,17,384
496,0.14954697984857931,GPT2-XL-mp,,18,384
499,0.1488857951572728,GPT2-XL-mp,,19,384
502,0.14918905563738605,GPT2-XL-mp,,20,384
505,0.1508567474942911,GPT2-XL-mp,,21,384
508,0.1498240986332737,GPT2-XL-mp,,22,384
511,0.14978031307755646,GPT2-XL-mp,,23,384
514,0.1501666379637405,GPT2-XL-mp,,24,384
517,0.15027742000657535,GPT2-XL-mp,,25,384
520,0.1494261579408415,GPT2-XL-mp,,26,384
523,0.14835561963239155,GPT2-XL-mp,,27,384
526,0.14812879722802025,GPT2-XL-mp,,28,384
529,0.14779128702106,GPT2-XL-mp,,29,384
532,0.1456526815257335,GPT2-XL-mp,,30,384
535,0.14540417825565158,GPT2-XL-mp,,31,384
538,0.1427841498669723,GPT2-XL-mp,,32,384
541,0.141986892849009,GPT2-XL-mp,,33,384
544,0.14145474063237223,GPT2-XL-mp,,34,384
547,0.13906754212024944,GPT2-XL-mp,,35,384
550,0.13792164650110988,GPT2-XL-mp,,36,384
553,0.13797272125556354,GPT2-XL-mp,,37,384
