,perf,Model,Shuffled,layer_num,Exp
149,0.06614741647124564,GPT2-XL,,0,Combined
152,0.10657701242759585,GPT2-XL,,1,Combined
155,0.10700714583768281,GPT2-XL,,2,Combined
158,0.11299902051932142,GPT2-XL,,3,Combined
161,0.11651454801350854,GPT2-XL,,4,Combined
164,0.11794644498631439,GPT2-XL,,5,Combined
167,0.11857588706589031,GPT2-XL,,6,Combined
170,0.11957029722356186,GPT2-XL,,7,Combined
173,0.12100589190261035,GPT2-XL,,8,Combined
176,0.1202562844872895,GPT2-XL,,9,Combined
179,0.1213394224231021,GPT2-XL,,10,Combined
182,0.12500877926506687,GPT2-XL,,11,Combined
185,0.1292958272187049,GPT2-XL,,12,Combined
188,0.13251954025371576,GPT2-XL,,13,Combined
191,0.1359842686090304,GPT2-XL,,14,Combined
194,0.13765834842253283,GPT2-XL,,15,Combined
197,0.13721174600733646,GPT2-XL,,16,Combined
200,0.13646692436274627,GPT2-XL,,17,Combined
203,0.13687551373786722,GPT2-XL,,18,Combined
206,0.13296088177480372,GPT2-XL,,19,Combined
209,0.1335564427028205,GPT2-XL,,20,Combined
212,0.13392849345675986,GPT2-XL,,21,Combined
215,0.12889628586840624,GPT2-XL,,22,Combined
218,0.1265284051641554,GPT2-XL,,23,Combined
221,0.12367754645422313,GPT2-XL,,24,Combined
224,0.12124662056076804,GPT2-XL,,25,Combined
227,0.11938469958446978,GPT2-XL,,26,Combined
230,0.1170983822260709,GPT2-XL,,27,Combined
233,0.11407652491729245,GPT2-XL,,28,Combined
236,0.11274773248806072,GPT2-XL,,29,Combined
239,0.10735390277954722,GPT2-XL,,30,Combined
242,0.10471038372374704,GPT2-XL,,31,Combined
245,0.10219537236761134,GPT2-XL,,32,Combined
248,0.09979124489713073,GPT2-XL,,33,Combined
251,0.09739115586353247,GPT2-XL,,34,Combined
254,0.09481320413061653,GPT2-XL,,35,Combined
257,0.09247336493876608,GPT2-XL,,36,Combined
260,0.09192241773527121,GPT2-XL,,37,Combined
263,0.09220010003172728,GPT2-XL,,38,Combined
266,0.0906890079213581,GPT2-XL,,39,Combined
269,0.08874410797322738,GPT2-XL,,40,Combined
272,0.08707787296777122,GPT2-XL,,41,Combined
275,0.08546003266463582,GPT2-XL,,42,Combined
278,0.08452954679082333,GPT2-XL,,43,Combined
281,0.08318204098292245,GPT2-XL,,44,Combined
284,0.0820383305680693,GPT2-XL,,45,Combined
287,0.08206108365588313,GPT2-XL,,46,Combined
290,0.08130501054509476,GPT2-XL,,47,Combined
293,0.09857472515615337,GPT2-XL,,48,Combined
443,0.11102047280332865,GPT2-XL-mp,,0,Combined
446,0.10371796103947137,GPT2-XL-mp,,1,Combined
449,0.1080584525937222,GPT2-XL-mp,,2,Combined
452,0.10939637528670791,GPT2-XL-mp,,3,Combined
455,0.11039244304520432,GPT2-XL-mp,,4,Combined
458,0.11270879207709447,GPT2-XL-mp,,5,Combined
461,0.11656529470916277,GPT2-XL-mp,,6,Combined
464,0.11999065361796554,GPT2-XL-mp,,7,Combined
467,0.12162512205359746,GPT2-XL-mp,,8,Combined
470,0.12351857364313326,GPT2-XL-mp,,9,Combined
473,0.12396534377772564,GPT2-XL-mp,,10,Combined
476,0.128091262981738,GPT2-XL-mp,,11,Combined
479,0.13187171664307148,GPT2-XL-mp,,12,Combined
482,0.1354018953129113,GPT2-XL-mp,,13,Combined
485,0.13657656007417723,GPT2-XL-mp,,14,Combined
488,0.1373978058485828,GPT2-XL-mp,,15,Combined
491,0.13802801604422282,GPT2-XL-mp,,16,Combined
494,0.1368421424622542,GPT2-XL-mp,,17,Combined
497,0.1357259229859662,GPT2-XL-mp,,18,Combined
500,0.13534198414768692,GPT2-XL-mp,,19,Combined
503,0.13470673336673317,GPT2-XL-mp,,20,Combined
506,0.13521280919101297,GPT2-XL-mp,,21,Combined
509,0.13358774562667708,GPT2-XL-mp,,22,Combined
512,0.13366430580459165,GPT2-XL-mp,,23,Combined
515,0.13226282474969067,GPT2-XL-mp,,24,Combined
518,0.1319926864815683,GPT2-XL-mp,,25,Combined
521,0.1314015736682472,GPT2-XL-mp,,26,Combined
524,0.13029717973550417,GPT2-XL-mp,,27,Combined
527,0.12958431502993847,GPT2-XL-mp,,28,Combined
530,0.13016435101882137,GPT2-XL-mp,,29,Combined
533,0.12757811982022657,GPT2-XL-mp,,30,Combined
536,0.12748481901439762,GPT2-XL-mp,,31,Combined
539,0.12478304414887213,GPT2-XL-mp,,32,Combined
542,0.12370280506088793,GPT2-XL-mp,,33,Combined
545,0.12281892173886153,GPT2-XL-mp,,34,Combined
548,0.12081125633875364,GPT2-XL-mp,,35,Combined
551,0.11842305089796223,GPT2-XL-mp,,36,Combined
554,0.11799221172761762,GPT2-XL-mp,,37,Combined
557,0.11723687298924985,GPT2-XL-mp,,38,Combined
560,0.11449852708772865,GPT2-XL-mp,,39,Combined
563,0.1118615998580947,GPT2-XL-mp,,40,Combined
566,0.10952218588516102,GPT2-XL-mp,,41,Combined
569,0.10883751593987476,GPT2-XL-mp,,42,Combined
572,0.10711474729928072,GPT2-XL-mp,,43,Combined
575,0.10481612084628952,GPT2-XL-mp,,44,Combined
578,0.10419990234118093,GPT2-XL-mp,,45,Combined
581,0.10267356955259806,GPT2-XL-mp,,46,Combined
584,0.10081582196381071,GPT2-XL-mp,,47,Combined
587,0.10713331506711646,GPT2-XL-mp,,48,Combined
737,0.12793154004556628,GPT2-XL-sp,,0,Combined
740,0.11666872621874083,GPT2-XL-sp,,1,Combined
743,0.12303805549018906,GPT2-XL-sp,,2,Combined
746,0.12461317491462413,GPT2-XL-sp,,3,Combined
749,0.12490740099814016,GPT2-XL-sp,,4,Combined
752,0.1278205577687058,GPT2-XL-sp,,5,Combined
755,0.1310610234080009,GPT2-XL-sp,,6,Combined
758,0.13377140241987479,GPT2-XL-sp,,7,Combined
761,0.13483647796214093,GPT2-XL-sp,,8,Combined
764,0.13617398107952944,GPT2-XL-sp,,9,Combined
767,0.13609224938321457,GPT2-XL-sp,,10,Combined
770,0.1391116241432156,GPT2-XL-sp,,11,Combined
773,0.1417840557322155,GPT2-XL-sp,,12,Combined
776,0.14435480481161456,GPT2-XL-sp,,13,Combined
779,0.14523250184875425,GPT2-XL-sp,,14,Combined
782,0.14596609347636127,GPT2-XL-sp,,15,Combined
785,0.14614141348744267,GPT2-XL-sp,,16,Combined
788,0.14486208313252344,GPT2-XL-sp,,17,Combined
791,0.14356688846297677,GPT2-XL-sp,,18,Combined
794,0.14259695696669752,GPT2-XL-sp,,19,Combined
797,0.14142027449395464,GPT2-XL-sp,,20,Combined
800,0.1419948893666001,GPT2-XL-sp,,21,Combined
803,0.14162542142270496,GPT2-XL-sp,,22,Combined
806,0.14196145486079847,GPT2-XL-sp,,23,Combined
