,perf,Model,Shuffled,layer_num,Exp
1,0.05850456924937661,GPT2-XL,shuffled,0,384
4,0.3362799271176587,GPT2-XL,shuffled,1,384
7,0.35393082239209356,GPT2-XL,shuffled,2,384
10,0.34818114403156497,GPT2-XL,shuffled,3,384
13,0.3313799269390041,GPT2-XL,shuffled,4,384
16,0.3050551250541124,GPT2-XL,shuffled,5,384
19,0.30186796877326255,GPT2-XL,shuffled,6,384
22,0.28643425560628183,GPT2-XL,shuffled,7,384
25,0.27372157073799624,GPT2-XL,shuffled,8,384
28,0.26577450177481343,GPT2-XL,shuffled,9,384
31,0.2594844789676725,GPT2-XL,shuffled,10,384
34,0.251811756667813,GPT2-XL,shuffled,11,384
37,0.24470516496939787,GPT2-XL,shuffled,12,384
40,0.2326974631822054,GPT2-XL,shuffled,13,384
43,0.22031798989663415,GPT2-XL,shuffled,14,384
46,0.21512967207204917,GPT2-XL,shuffled,15,384
49,0.2055561096967615,GPT2-XL,shuffled,16,384
52,0.20777346113657302,GPT2-XL,shuffled,17,384
55,0.2151927537023598,GPT2-XL,shuffled,18,384
58,0.2132361453832755,GPT2-XL,shuffled,19,384
61,0.21701507368175055,GPT2-XL,shuffled,20,384
64,0.2232267979146674,GPT2-XL,shuffled,21,384
67,0.2295312603721142,GPT2-XL,shuffled,22,384
70,0.23807145746522515,GPT2-XL,shuffled,23,384
73,0.24989434101562036,GPT2-XL,shuffled,24,384
76,0.26114519795382174,GPT2-XL,shuffled,25,384
79,0.26808270564943726,GPT2-XL,shuffled,26,384
82,0.28516714026600354,GPT2-XL,shuffled,27,384
85,0.2927515078035751,GPT2-XL,shuffled,28,384
88,0.30619114546249016,GPT2-XL,shuffled,29,384
91,0.31875994210377706,GPT2-XL,shuffled,30,384
94,0.3274680270436313,GPT2-XL,shuffled,31,384
97,0.3414746172448371,GPT2-XL,shuffled,32,384
100,0.34692790887095604,GPT2-XL,shuffled,33,384
103,0.3568545683581786,GPT2-XL,shuffled,34,384
106,0.36755371613347604,GPT2-XL,shuffled,35,384
109,0.3750204202968732,GPT2-XL,shuffled,36,384
112,0.3796155173378348,GPT2-XL,shuffled,37,384
115,0.38357887103305116,GPT2-XL,shuffled,38,384
118,0.39240587503352475,GPT2-XL,shuffled,39,384
121,0.3970660552582666,GPT2-XL,shuffled,40,384
124,0.401886108525058,GPT2-XL,shuffled,41,384
127,0.40294168488834853,GPT2-XL,shuffled,42,384
130,0.40572350418515396,GPT2-XL,shuffled,43,384
133,0.40941556885071295,GPT2-XL,shuffled,44,384
136,0.4125917754646507,GPT2-XL,shuffled,45,384
139,0.41500342246863875,GPT2-XL,shuffled,46,384
142,0.41628809900667607,GPT2-XL,shuffled,47,384
145,0.4192191077015928,GPT2-XL,shuffled,48,384
295,0.24282639262986475,GPT2-XL-mp,shuffled,0,384
298,0.3284010235932092,GPT2-XL-mp,shuffled,1,384
301,0.32579706796057173,GPT2-XL-mp,shuffled,2,384
304,0.3219399447677288,GPT2-XL-mp,shuffled,3,384
307,0.3148966335549119,GPT2-XL-mp,shuffled,4,384
310,0.31085342917174796,GPT2-XL-mp,shuffled,5,384
313,0.3025675977857356,GPT2-XL-mp,shuffled,6,384
316,0.2957829786812002,GPT2-XL-mp,shuffled,7,384
319,0.28647269169863354,GPT2-XL-mp,shuffled,8,384
322,0.2817864808043428,GPT2-XL-mp,shuffled,9,384
325,0.27306935721146564,GPT2-XL-mp,shuffled,10,384
328,0.2690282191197524,GPT2-XL-mp,shuffled,11,384
331,0.26336483998016763,GPT2-XL-mp,shuffled,12,384
334,0.26177741008684496,GPT2-XL-mp,shuffled,13,384
337,0.2578781484105095,GPT2-XL-mp,shuffled,14,384
340,0.25596465992623296,GPT2-XL-mp,shuffled,15,384
343,0.25219942214993507,GPT2-XL-mp,shuffled,16,384
346,0.24761994364899995,GPT2-XL-mp,shuffled,17,384
349,0.2452806200767222,GPT2-XL-mp,shuffled,18,384
352,0.24236594852990206,GPT2-XL-mp,shuffled,19,384
355,0.24222127151293119,GPT2-XL-mp,shuffled,20,384
358,0.2430423144929481,GPT2-XL-mp,shuffled,21,384
361,0.24507155526856092,GPT2-XL-mp,shuffled,22,384
364,0.24651460718906051,GPT2-XL-mp,shuffled,23,384
367,0.24937616698933615,GPT2-XL-mp,shuffled,24,384
370,0.2525617664544827,GPT2-XL-mp,shuffled,25,384
373,0.25829298508282506,GPT2-XL-mp,shuffled,26,384
376,0.2628893859254762,GPT2-XL-mp,shuffled,27,384
379,0.26638692288120164,GPT2-XL-mp,shuffled,28,384
382,0.2696649219925933,GPT2-XL-mp,shuffled,29,384
385,0.2779658334873099,GPT2-XL-mp,shuffled,30,384
388,0.28199152176899417,GPT2-XL-mp,shuffled,31,384
391,0.2912382777261848,GPT2-XL-mp,shuffled,32,384
394,0.2976185343828302,GPT2-XL-mp,shuffled,33,384
397,0.3007967471587894,GPT2-XL-mp,shuffled,34,384
400,0.3048570399572412,GPT2-XL-mp,shuffled,35,384
403,0.30970666100029265,GPT2-XL-mp,shuffled,36,384
406,0.31322268897562805,GPT2-XL-mp,shuffled,37,384
409,0.3139258358705934,GPT2-XL-mp,shuffled,38,384
412,0.3224931024268828,GPT2-XL-mp,shuffled,39,384
415,0.32615783047172264,GPT2-XL-mp,shuffled,40,384
418,0.3315203339767294,GPT2-XL-mp,shuffled,41,384
421,0.3340871193616576,GPT2-XL-mp,shuffled,42,384
424,0.3377237917424658,GPT2-XL-mp,shuffled,43,384
427,0.34147384101527606,GPT2-XL-mp,shuffled,44,384
430,0.34658993921661035,GPT2-XL-mp,shuffled,45,384
433,0.3488266042471673,GPT2-XL-mp,shuffled,46,384
436,0.3504439830966788,GPT2-XL-mp,shuffled,47,384
439,0.3486802139880785,GPT2-XL-mp,shuffled,48,384
589,0.2491666610532577,GPT2-XL-sp,shuffled,0,384
592,0.33111809256537156,GPT2-XL-sp,shuffled,1,384
595,0.3293631207725787,GPT2-XL-sp,shuffled,2,384
598,0.3258349048340981,GPT2-XL-sp,shuffled,3,384
601,0.3187667542483608,GPT2-XL-sp,shuffled,4,384
604,0.31538842567838965,GPT2-XL-sp,shuffled,5,384
607,0.30685043779652155,GPT2-XL-sp,shuffled,6,384
610,0.299496513185318,GPT2-XL-sp,shuffled,7,384
613,0.2896802371188456,GPT2-XL-sp,shuffled,8,384
616,0.28540199891678764,GPT2-XL-sp,shuffled,9,384
619,0.27631351037232527,GPT2-XL-sp,shuffled,10,384
622,0.2725069878688835,GPT2-XL-sp,shuffled,11,384
625,0.26617312381076863,GPT2-XL-sp,shuffled,12,384
628,0.26392375630332787,GPT2-XL-sp,shuffled,13,384
631,0.2599984207244465,GPT2-XL-sp,shuffled,14,384
634,0.25746652777303347,GPT2-XL-sp,shuffled,15,384
637,0.2529387342573208,GPT2-XL-sp,shuffled,16,384
640,0.2482384412002087,GPT2-XL-sp,shuffled,17,384
643,0.24500142624293833,GPT2-XL-sp,shuffled,18,384
646,0.24235832548347438,GPT2-XL-sp,shuffled,19,384
649,0.2422243704677679,GPT2-XL-sp,shuffled,20,384
652,0.2428404672290081,GPT2-XL-sp,shuffled,21,384
655,0.24503368568179193,GPT2-XL-sp,shuffled,22,384
658,0.2462590370856591,GPT2-XL-sp,shuffled,23,384
661,0.24863927788487217,GPT2-XL-sp,shuffled,24,384
664,0.2519673071690593,GPT2-XL-sp,shuffled,25,384
667,0.25820390109478114,GPT2-XL-sp,shuffled,26,384
670,0.26274414662174167,GPT2-XL-sp,shuffled,27,384
673,0.26599430964130677,GPT2-XL-sp,shuffled,28,384
676,0.26974176845054787,GPT2-XL-sp,shuffled,29,384
679,0.277810556747229,GPT2-XL-sp,shuffled,30,384
682,0.28191507625818935,GPT2-XL-sp,shuffled,31,384
685,0.2913640356897716,GPT2-XL-sp,shuffled,32,384
688,0.2976856778414645,GPT2-XL-sp,shuffled,33,384
691,0.3011483433580504,GPT2-XL-sp,shuffled,34,384
694,0.305393360820218,GPT2-XL-sp,shuffled,35,384
697,0.31057411714007493,GPT2-XL-sp,shuffled,36,384
700,0.3143660766579247,GPT2-XL-sp,shuffled,37,384
703,0.3154023514686292,GPT2-XL-sp,shuffled,38,384
706,0.3238757267815359,GPT2-XL-sp,shuffled,39,384
709,0.327796276055528,GPT2-XL-sp,shuffled,40,384
712,0.3333417620482291,GPT2-XL-sp,shuffled,41,384
715,0.33593352072412147,GPT2-XL-sp,shuffled,42,384
718,0.33955928691425324,GPT2-XL-sp,shuffled,43,384
721,0.34288386061015286,GPT2-XL-sp,shuffled,44,384
724,0.34775924323020735,GPT2-XL-sp,shuffled,45,384
727,0.35012455025153616,GPT2-XL-sp,shuffled,46,384
730,0.35140807050294776,GPT2-XL-sp,shuffled,47,384
733,0.34925852498810595,GPT2-XL-sp,shuffled,48,384
