,perf,Model,Shuffled,layer_num,Exp
2,0.054456834453904576,GPT2-XL,shuffled,0,Combined
5,0.3254168544494719,GPT2-XL,shuffled,1,Combined
8,0.3454547864720048,GPT2-XL,shuffled,2,Combined
11,0.33614441850291993,GPT2-XL,shuffled,3,Combined
14,0.323591505862757,GPT2-XL,shuffled,4,Combined
17,0.30025880759055584,GPT2-XL,shuffled,5,Combined
20,0.29744581550354865,GPT2-XL,shuffled,6,Combined
23,0.283276372911124,GPT2-XL,shuffled,7,Combined
26,0.2728404632192596,GPT2-XL,shuffled,8,Combined
29,0.2648494595296947,GPT2-XL,shuffled,9,Combined
32,0.25919738341075776,GPT2-XL,shuffled,10,Combined
35,0.2548523709248677,GPT2-XL,shuffled,11,Combined
38,0.25097981641817835,GPT2-XL,shuffled,12,Combined
41,0.24016934115743024,GPT2-XL,shuffled,13,Combined
44,0.23132305895424485,GPT2-XL,shuffled,14,Combined
47,0.2282071114066858,GPT2-XL,shuffled,15,Combined
50,0.22084930955930723,GPT2-XL,shuffled,16,Combined
53,0.2228928099176127,GPT2-XL,shuffled,17,Combined
56,0.2285039498534273,GPT2-XL,shuffled,18,Combined
59,0.22658136913350133,GPT2-XL,shuffled,19,Combined
62,0.23274888986895537,GPT2-XL,shuffled,20,Combined
65,0.2363729571383569,GPT2-XL,shuffled,21,Combined
68,0.23965165425082802,GPT2-XL,shuffled,22,Combined
71,0.24829888558932972,GPT2-XL,shuffled,23,Combined
74,0.25843317110056824,GPT2-XL,shuffled,24,Combined
77,0.2679489249288431,GPT2-XL,shuffled,25,Combined
80,0.27642883558303094,GPT2-XL,shuffled,26,Combined
83,0.2882054324227362,GPT2-XL,shuffled,27,Combined
86,0.29125822021435277,GPT2-XL,shuffled,28,Combined
89,0.30251528295820734,GPT2-XL,shuffled,29,Combined
92,0.3090102366862267,GPT2-XL,shuffled,30,Combined
95,0.31674882980926705,GPT2-XL,shuffled,31,Combined
98,0.32806184700032565,GPT2-XL,shuffled,32,Combined
101,0.3314884393426672,GPT2-XL,shuffled,33,Combined
104,0.3383067861952844,GPT2-XL,shuffled,34,Combined
107,0.3474401689940427,GPT2-XL,shuffled,35,Combined
110,0.3533302123262061,GPT2-XL,shuffled,36,Combined
113,0.3576836708243171,GPT2-XL,shuffled,37,Combined
116,0.36087798804645976,GPT2-XL,shuffled,38,Combined
119,0.3703865786055344,GPT2-XL,shuffled,39,Combined
122,0.37378009943645674,GPT2-XL,shuffled,40,Combined
125,0.37930363499168135,GPT2-XL,shuffled,41,Combined
128,0.37999067792783103,GPT2-XL,shuffled,42,Combined
131,0.3818008019959197,GPT2-XL,shuffled,43,Combined
134,0.3856126148409195,GPT2-XL,shuffled,44,Combined
137,0.38858695894160034,GPT2-XL,shuffled,45,Combined
140,0.3907880005610601,GPT2-XL,shuffled,46,Combined
143,0.39165696057962196,GPT2-XL,shuffled,47,Combined
146,0.3980500887290499,GPT2-XL,shuffled,48,Combined
296,0.21938854814481545,GPT2-XL-mp,shuffled,0,Combined
299,0.31018345936456526,GPT2-XL-mp,shuffled,1,Combined
302,0.3136292239403404,GPT2-XL-mp,shuffled,2,Combined
305,0.31102739316176364,GPT2-XL-mp,shuffled,3,Combined
308,0.3040743823085079,GPT2-XL-mp,shuffled,4,Combined
311,0.30080199704944727,GPT2-XL-mp,shuffled,5,Combined
314,0.2940423672917782,GPT2-XL-mp,shuffled,6,Combined
317,0.28918141525314256,GPT2-XL-mp,shuffled,7,Combined
320,0.2799932158636502,GPT2-XL-mp,shuffled,8,Combined
323,0.27662602533500735,GPT2-XL-mp,shuffled,9,Combined
326,0.26867730699434844,GPT2-XL-mp,shuffled,10,Combined
329,0.26596139043649786,GPT2-XL-mp,shuffled,11,Combined
332,0.26294357351621117,GPT2-XL-mp,shuffled,12,Combined
335,0.2626711255150552,GPT2-XL-mp,shuffled,13,Combined
338,0.25878238598885484,GPT2-XL-mp,shuffled,14,Combined
341,0.25727392589051945,GPT2-XL-mp,shuffled,15,Combined
344,0.2547379493859312,GPT2-XL-mp,shuffled,16,Combined
347,0.25101966022721267,GPT2-XL-mp,shuffled,17,Combined
350,0.24758427873718225,GPT2-XL-mp,shuffled,18,Combined
353,0.245582580172624,GPT2-XL-mp,shuffled,19,Combined
356,0.2471611953868944,GPT2-XL-mp,shuffled,20,Combined
359,0.24775498207439117,GPT2-XL-mp,shuffled,21,Combined
362,0.2515813121642807,GPT2-XL-mp,shuffled,22,Combined
365,0.25479140774656567,GPT2-XL-mp,shuffled,23,Combined
368,0.25694550037279584,GPT2-XL-mp,shuffled,24,Combined
371,0.26017554330472387,GPT2-XL-mp,shuffled,25,Combined
374,0.2655597663897711,GPT2-XL-mp,shuffled,26,Combined
377,0.26927960729131784,GPT2-XL-mp,shuffled,27,Combined
380,0.2714119214743379,GPT2-XL-mp,shuffled,28,Combined
383,0.27452784561105004,GPT2-XL-mp,shuffled,29,Combined
386,0.28024674166448116,GPT2-XL-mp,shuffled,30,Combined
389,0.2840584555914333,GPT2-XL-mp,shuffled,31,Combined
392,0.2913434034516076,GPT2-XL-mp,shuffled,32,Combined
395,0.29577015499245196,GPT2-XL-mp,shuffled,33,Combined
398,0.29904564262470446,GPT2-XL-mp,shuffled,34,Combined
401,0.3027919083884017,GPT2-XL-mp,shuffled,35,Combined
404,0.3060108161731142,GPT2-XL-mp,shuffled,36,Combined
407,0.30953643868885394,GPT2-XL-mp,shuffled,37,Combined
410,0.310040911206867,GPT2-XL-mp,shuffled,38,Combined
