,feature_extraction,dataset,values
0,-lt,pereira,71.43623221103377
1,-lt,pereira,76.49054292536681
2,-lt,pereira,100.0
3,-lt,pereira,100.0
4,-lt,pereira,84.10800896274455
5,-lt,pereira,96.11758616376946
6,-lt,pereira,100.0
7,-lt,pereira,62.95299201290059
8,-lt,pereira,100.0
9,-lt,pereira,94.34319833056239
10,-mp,pereira,89.67473815108436
11,-mp,pereira,72.28504335367492
12,-mp,pereira,75.4946016901097
13,-mp,pereira,100.0
14,-mp,pereira,75.9207749573398
15,-mp,pereira,76.59743470662647
16,-mp,pereira,100.0
17,-mp,pereira,35.646685272216715
18,-mp,pereira,72.60523128940658
19,-mp,pereira,84.71113444322394
20,-sp,pereira,89.0119326698144
21,-sp,pereira,65.50762009272057
22,-sp,pereira,77.91087711940004
23,-sp,pereira,100.0
24,-sp,pereira,71.29683137441548
25,-sp,pereira,70.59440870069365
26,-sp,pereira,100.0
27,-sp,pereira,33.140712396511965
28,-sp,pereira,75.9648599513927
29,-sp,pereira,83.81287037865832
30,-lt,fedorenko,94.62946547629892
31,-lt,fedorenko,100.0
32,-lt,fedorenko,83.41632957229218
33,-lt,fedorenko,89.56208468183966
34,-lt,fedorenko,85.12701203483883
35,-mp,fedorenko,89.5202165763608
36,-mp,fedorenko,100.0
37,-mp,fedorenko,79.74678268478242
38,-mp,fedorenko,84.61813961037714
39,-mp,fedorenko,76.38188663830927
40,-sp,fedorenko,91.92503665419594
41,-sp,fedorenko,86.03455201664842
42,-sp,fedorenko,69.61224539017323
43,-sp,fedorenko,84.8184953405487
44,-sp,fedorenko,70.25329827444492
45,-lt,blank,100.0
46,-lt,blank,100.0
47,-lt,blank,100.0
48,-lt,blank,100.0
49,-lt,blank,29.964493536871515
50,-mp,blank,81.10356780264429
51,-mp,blank,56.97887606638845
52,-mp,blank,75.56261558518516
53,-mp,blank,100.0
54,-mp,blank,100.0
55,-sp,blank,100.0
56,-sp,blank,100.0
57,-sp,blank,97.11699109115115
58,-sp,blank,100.0
59,-sp,blank,100.0
