subjects,Network,Model,perf
0,language,Simple,0.15553550006708813
0,language,gpt2xl-lt,0.07220138891724226
0,language,gpt2xl-mp,0.09571631494500044
0,language,gpt2xl-sp,0.08747649739812169
1,language,Simple,0.061062992950261595
1,language,gpt2xl-lt,0.011106857963739003
1,language,gpt2xl-mp,0.017414663323736774
1,language,gpt2xl-sp,0.014038576738976608
2,language,Simple,0.07750097502335453
2,language,gpt2xl-lt,0.017727995827974352
2,language,gpt2xl-mp,0.029838162900192478
2,language,gpt2xl-sp,0.039573392800788976
3,language,Simple,0.11102213708752832
3,language,gpt2xl-lt,0.022947151997441646
3,language,gpt2xl-mp,0.05178651210303816
3,language,gpt2xl-sp,0.04797006822532257
4,language,Simple,0.012406564407523635
4,language,gpt2xl-lt,0.0
4,language,gpt2xl-mp,0.0
4,language,gpt2xl-sp,0.0
