,fe,subject,pval,pval_orig,network,pval_LLM_sig,pval_LLM_sig_orig
0,-lt,0,1.0,0.6557547870687341,language,0.6006187193868212,0.1501546798467053
1,-lt,0,1.0,0.17374394815851607,language,1.0,0.766156659045123
2,-lt,0,1.0,0.9709287674734726,language,1.0,1.0
3,-lt,0,1.0,0.7311718724919709,language,0.5383136864530907,0.06685100650369044
4,-lt,0,1.0,0.7132973466113197,language,1.0,1.0
5,-lt,0,1.0,0.39929405501321147,language,1.0,1.0
6,-lt,0,1.0,1.0,language,1.0,1.0
7,-lt,0,1.0,0.9738754211568295,language,1.0,1.0
8,-lt,0,1.0,0.700244325416111,language,0.5383136864530907,0.0897189477421818
9,-lt,0,1.0,0.980522624227105,language,1.0,1.0
10,-lt,0,1.0,0.5615607695034701,language,1.0,0.6091267637977666
11,-lt,0,1.0,0.9896738192817283,language,1.0,1.0
12,-lt,1,1.0,1.0,language,1.0,1.0
13,-lt,1,1.0,0.8051929552981385,language,1.0,1.0
14,-lt,1,1.0,1.0,language,1.0,1.0
15,-lt,1,1.0,0.3379524040543752,language,1.0,1.0
16,-lt,1,1.0,1.0,language,1.0,1.0
17,-lt,1,1.0,1.0,language,1.0,1.0
18,-lt,1,1.0,0.8779204754338068,language,1.0,1.0
19,-lt,1,1.0,1.0,language,1.0,1.0
20,-lt,1,1.0,0.8352265669113292,language,1.0,0.4245520668647831
21,-lt,1,1.0,1.0,language,1.0,1.0
22,-lt,1,1.0,1.0,language,1.0,1.0
23,-lt,1,1.0,1.0,language,1.0,1.0
24,-lt,2,1.0,0.6951547992169573,language,1.0,0.42716190831385265
25,-lt,2,1.0,1.0,language,1.0,1.0
26,-lt,2,1.0,0.3328300654493176,language,1.0,0.3328300654493176
27,-lt,2,1.0,0.25832184350888493,language,1.0,1.0
28,-lt,2,1.0,0.9530086236362542,language,1.0,1.0
29,-lt,2,1.0,0.9041716121028951,language,1.0,1.0
30,-lt,2,1.0,0.8703848518247865,language,1.0,1.0
31,-lt,2,1.0,1.0,language,1.0,1.0
32,-lt,2,1.0,0.9061081178427159,language,1.0,0.5871439664506708
33,-lt,2,1.0,0.5003258644449249,language,0.6577132563111854,0.05480943802593212
34,-lt,2,1.0,0.8205023779358829,language,1.0,0.6838751521363582
35,-lt,2,1.0,0.8518707519904365,language,1.0,1.0
36,-lt,3,1.0,0.990128566865475,language,1.0,1.0
37,-lt,3,1.0,0.7765455231669001,language,1.0,1.0
38,-lt,3,1.0,0.8240083466129495,language,1.0,0.14550034889146565
39,-lt,3,1.0,0.5979376854512057,language,1.0,1.0
40,-lt,3,1.0,0.2907214061032032,language,1.0,1.0
41,-lt,3,1.0,0.19908924620345353,language,1.0,0.19908924620345353
42,-lt,3,1.0,0.9984365709973991,language,1.0,1.0
43,-lt,3,1.0,0.95260878131193,language,1.0,1.0
44,-lt,3,1.0,1.0,language,1.0,1.0
45,-lt,3,1.0,0.6357591803442815,language,1.0,1.0
46,-lt,3,1.0,1.0,language,1.0,1.0
47,-lt,3,1.0,0.9315048813099206,language,1.0,1.0
48,-lt,4,1.0,0.7840709921609857,language,1.0,1.0
49,-lt,4,1.0,1.0,language,1.0,1.0
50,-lt,4,1.0,1.0,language,1.0,1.0
51,-lt,4,1.0,1.0,language,1.0,1.0
52,-lt,4,1.0,1.0,language,1.0,1.0
53,-lt,4,1.0,1.0,language,1.0,1.0
54,-lt,4,1.0,1.0,language,1.0,1.0
55,-lt,4,1.0,1.0,language,1.0,1.0
56,-lt,4,1.0,1.0,language,1.0,1.0
57,-lt,4,1.0,1.0,language,1.0,1.0
58,-lt,4,1.0,1.0,language,1.0,1.0
59,-lt,4,1.0,0.3046543153225051,language,1.0,0.460989286012336
60,-mp,0,1.0,0.931103086699862,language,0.3266673343265176,0.10888911144217255
61,-mp,0,0.35300592855185403,0.029417160712654503,language,1.0,0.7698008552313851
62,-mp,0,1.0,0.7558584027407337,language,0.3917105151793519,0.1632127146580633
63,-mp,0,1.0,0.3577550120540793,language,0.1883912322935035,0.015699269357791958
64,-mp,0,1.0,0.7093144618393734,language,0.2504337219542641,0.06260843048856603
65,-mp,0,1.0,0.9465764128642649,language,1.0,1.0
66,-mp,0,1.0,1.0,language,1.0,1.0
67,-mp,0,1.0,0.9440690199587596,language,1.0,1.0
68,-mp,0,1.0,0.5385285196435361,language,0.2504337219542641,0.04839638206041255
69,-mp,0,1.0,0.5027891693721906,language,1.0,0.6378137536005473
70,-mp,0,1.0,0.949985931057123,language,1.0,1.0
71,-mp,0,1.0,0.838622581329652,language,1.0,1.0
72,-mp,1,1.0,1.0,language,1.0,1.0
73,-mp,1,1.0,0.5201220559306604,language,1.0,0.39271806195631115
74,-mp,1,1.0,1.0,language,1.0,1.0
75,-mp,1,1.0,0.9742140580774356,language,1.0,1.0
76,-mp,1,1.0,1.0,language,1.0,1.0
77,-mp,1,1.0,1.0,language,1.0,1.0
78,-mp,1,1.0,0.3000113889720042,language,1.0,0.20170397770755466
79,-mp,1,1.0,1.0,language,1.0,1.0
80,-mp,1,1.0,0.22710852585154823,language,1.0,1.0
81,-mp,1,1.0,1.0,language,1.0,1.0
82,-mp,1,1.0,1.0,language,1.0,1.0
83,-mp,1,1.0,1.0,language,1.0,1.0
84,-mp,2,0.9571642564699356,0.1595273760783226,language,0.23702328009775192,0.03165083866891217
85,-mp,2,1.0,1.0,language,1.0,1.0
86,-mp,2,1.0,1.0,language,1.0,1.0
87,-mp,2,1.0,0.3400389177024961,language,1.0,1.0
88,-mp,2,1.0,0.9945472035876554,language,1.0,1.0
89,-mp,2,1.0,0.5733967630566228,language,1.0,1.0
90,-mp,2,0.9571642564699356,0.1081322613154569,language,1.0,0.6573744522865634
91,-mp,2,1.0,1.0,language,1.0,1.0
92,-mp,2,1.0,0.9318878565196769,language,1.0,1.0
93,-mp,2,1.0,0.6714032402372414,language,0.23702328009775192,0.05119403691558757
94,-mp,2,1.0,0.9626059582449668,language,1.0,1.0
95,-mp,2,1.0,0.7780202474445707,language,0.23702328009775192,0.05925582002443798
96,-mp,3,1.0,0.4001211780156179,language,1.0,1.0
97,-mp,3,1.0,0.6940614146958943,language,1.0,0.22690405045926298
