,fe,subject,pval,pval_orig,network,pval_LLM_sig,pval_LLM_sig_orig
0,-lt,0,1.0,0.8440006654872849,language,0.6924689963232028,0.1868917323907605
1,-lt,0,1.0,0.17200301916944072,language,1.0,0.7771871838236432
2,-lt,0,1.0,0.9574859636222858,language,1.0,1.0
3,-lt,0,1.0,0.888584140626943,language,0.6924689963232028,0.12880684253579466
4,-lt,0,1.0,0.8190997367154873,language,0.6924689963232028,0.23082299877440093
5,-lt,0,1.0,0.8520153455400816,language,0.6924689963232028,0.1572460207697199
6,-lt,0,1.0,1.0,language,1.0,1.0
7,-lt,0,1.0,0.8676945953685105,language,1.0,1.0
8,-lt,0,1.0,0.8672403979108082,language,1.0,1.0
9,-lt,0,1.0,0.958987569997,language,1.0,0.6650654771559308
10,-lt,0,1.0,0.774958192264565,language,0.6992526168894123,0.2913552570372551
11,-lt,0,1.0,0.37433530695045814,language,1.0,1.0
12,-lt,1,1.0,1.0,language,1.0,1.0
13,-lt,1,1.0,0.9911285476247497,language,1.0,1.0
14,-lt,1,1.0,1.0,language,1.0,1.0
15,-lt,1,1.0,0.8627970910880409,language,1.0,0.2780078325390384
16,-lt,1,1.0,1.0,language,1.0,1.0
17,-lt,1,1.0,1.0,language,1.0,1.0
18,-lt,1,1.0,0.9693843813443324,language,1.0,1.0
19,-lt,1,1.0,1.0,language,1.0,1.0
20,-lt,1,1.0,0.778376248809519,language,1.0,0.10391014504772568
21,-lt,1,1.0,1.0,language,1.0,1.0
22,-lt,1,1.0,1.0,language,1.0,1.0
23,-lt,1,1.0,1.0,language,1.0,1.0
24,-lt,2,1.0,0.5071381661746504,language,0.7130852483335829,0.11884754138893049
25,-lt,2,1.0,1.0,language,1.0,1.0
26,-lt,2,1.0,1.0,language,1.0,1.0
27,-lt,2,1.0,0.560692229068025,language,1.0,1.0
28,-lt,2,1.0,0.8837390970179786,language,1.0,1.0
29,-lt,2,1.0,0.7492917698472177,language,1.0,1.0
30,-lt,2,1.0,0.27981253374155773,language,1.0,1.0
31,-lt,2,1.0,1.0,language,1.0,1.0
32,-lt,2,1.0,0.9620726650466354,language,1.0,1.0
33,-lt,2,1.0,0.529095748963596,language,0.7130852483335829,0.11176328336531403
34,-lt,2,1.0,0.8911771290022664,language,1.0,1.0
35,-lt,2,1.0,0.9180939467867997,language,1.0,1.0
36,-lt,3,1.0,0.9439513312907749,language,1.0,1.0
37,-lt,3,0.9536387705164222,0.6275202448017008,language,1.0,0.34541146638765496
38,-lt,3,0.9536387705164222,0.5735751777658185,language,1.0,1.0
39,-lt,3,0.9536387705164222,0.6320102085607175,language,1.0,1.0
40,-lt,3,1.0,0.9089762309158377,language,1.0,1.0
41,-lt,3,0.9536387705164222,0.3293596025112464,language,1.0,0.3293596025112464
42,-lt,3,0.9536387705164222,0.4234107656674179,language,1.0,1.0
43,-lt,3,0.9536387705164222,0.2435889535278512,language,1.0,1.0
44,-lt,3,1.0,1.0,language,1.0,1.0
45,-lt,3,0.9536387705164222,0.6357591803442815,language,1.0,1.0
46,-lt,3,0.9536387705164222,0.08629853157887528,language,1.0,0.08629853157887528
47,-lt,3,1.0,0.8902734635592175,language,1.0,1.0
48,-lt,4,1.0,0.9341052980153143,language,1.0,1.0
49,-lt,4,1.0,1.0,language,1.0,1.0
50,-lt,4,1.0,0.3592777692245377,language,1.0,0.3592777692245377
51,-lt,4,1.0,0.550201778020858,language,1.0,0.550201778020858
52,-lt,4,1.0,1.0,language,1.0,1.0
53,-lt,4,1.0,1.0,language,1.0,1.0
54,-lt,4,1.0,1.0,language,1.0,1.0
55,-lt,4,1.0,1.0,language,1.0,1.0
56,-lt,4,1.0,1.0,language,1.0,1.0
57,-lt,4,1.0,1.0,language,1.0,1.0
58,-lt,4,1.0,1.0,language,1.0,1.0
59,-lt,4,1.0,0.51099395577692,language,1.0,1.0
60,-mp,0,1.0,0.17943557994416148,language,0.19988444479527442,0.049971111198818606
61,-mp,0,1.0,0.15785031205733824,language,1.0,1.0
62,-mp,0,1.0,0.5205546063584149,language,0.2073494749569984,0.086395614565416
63,-mp,0,1.0,0.9878164798004144,language,0.19988444479527442,0.046246792954909514
64,-mp,0,1.0,0.48332690077369467,language,0.19988444479527442,0.043781895146861455
65,-mp,0,1.0,0.5616512578897973,language,0.5380813088842024,0.2690406544421012
66,-mp,0,1.0,1.0,language,1.0,1.0
67,-mp,0,1.0,0.8963010643450758,language,1.0,1.0
68,-mp,0,1.0,0.7453786209236763,language,0.2000393072117872,0.06667976907059574
69,-mp,0,1.0,0.5773718721095759,language,0.56735837117937,0.33095904985463254
70,-mp,0,1.0,0.736741179998498,language,0.8538968496502402,0.5692645664334934
71,-mp,0,1.0,0.7961750918608612,language,1.0,1.0
72,-mp,1,1.0,1.0,language,1.0,1.0
73,-mp,1,1.0,0.48191388378547934,language,1.0,1.0
74,-mp,1,1.0,1.0,language,1.0,1.0
75,-mp,1,1.0,0.2759574866292105,language,1.0,1.0
76,-mp,1,1.0,1.0,language,1.0,1.0
77,-mp,1,1.0,1.0,language,1.0,1.0
78,-mp,1,1.0,0.8706596014688842,language,1.0,1.0
79,-mp,1,1.0,1.0,language,1.0,1.0
80,-mp,1,1.0,0.9277508317692179,language,1.0,0.2116896537163268
81,-mp,1,1.0,1.0,language,1.0,1.0
82,-mp,1,1.0,1.0,language,1.0,1.0
83,-mp,1,1.0,1.0,language,1.0,1.0
84,-mp,2,1.0,0.5922279844236766,language,0.1620879236299108,0.027014653938318468
85,-mp,2,1.0,0.6524390958516904,language,1.0,0.6524390958516904
86,-mp,2,1.0,1.0,language,1.0,1.0
87,-mp,2,1.0,0.20792701220535315,language,1.0,1.0
88,-mp,2,1.0,0.9681189891934516,language,1.0,1.0
89,-mp,2,1.0,0.7951430284313817,language,1.0,1.0
90,-mp,2,0.34894296977303046,0.029078580814419205,language,1.0,0.2723011834183259
91,-mp,2,1.0,1.0,language,1.0,1.0
92,-mp,2,1.0,0.9431587362471688,language,1.0,1.0
93,-mp,2,1.0,0.3229371149282625,language,0.1620879236299108,0.026797834339017473
94,-mp,2,1.0,0.4912433091398929,language,1.0,1.0
95,-mp,2,1.0,0.8518707519904365,language,1.0,1.0
96,-mp,3,1.0,0.3449618773002815,language,1.0,1.0
97,-mp,3,1.0,0.22397245041645925,language,0.25454093734927186,0.04242348955821198
98,-mp,3,1.0,0.6186821558059972,language,0.25454093734927186,0.04184856985373719
99,-mp,3,1.0,0.8119891431549768,language,1.0,0.41049057920176213
100,-mp,3,1.0,0.9797566109117021,language,1.0,1.0
101,-mp,3,1.0,0.3698220228626088,language,1.0,0.3698220228626088
102,-mp,3,1.0,0.6624449568811468,language,1.0,1.0
103,-mp,3,1.0,0.9652600611127539,language,1.0,1.0
104,-mp,3,1.0,1.0,language,1.0,1.0
105,-mp,3,1.0,0.6357591803442815,language,1.0,1.0
106,-mp,3,1.0,1.0,language,1.0,1.0
107,-mp,3,1.0,0.36711603777332646,language,1.0,1.0
108,-mp,4,1.0,0.8921079559402777,language,1.0,1.0
109,-mp,4,1.0,1.0,language,1.0,1.0
110,-mp,4,1.0,1.0,language,1.0,1.0
111,-mp,4,1.0,0.5507301110396267,language,1.0,0.5507301110396267
112,-mp,4,1.0,1.0,language,1.0,1.0
113,-mp,4,1.0,1.0,language,1.0,1.0
114,-mp,4,1.0,1.0,language,1.0,1.0
115,-mp,4,1.0,1.0,language,1.0,1.0
116,-mp,4,1.0,1.0,language,1.0,1.0
117,-mp,4,1.0,1.0,language,1.0,1.0
118,-mp,4,1.0,1.0,language,1.0,1.0
119,-mp,4,1.0,0.6354367966153311,language,1.0,1.0
120,-sp,0,1.0,0.41357544522625017,language,0.3501721835803362,0.10269509578604562
121,-sp,0,1.0,0.7925458990585015,language,1.0,1.0
122,-sp,0,1.0,0.8234636869733474,language,0.3561295962946319,0.14838733178942998
123,-sp,0,1.0,0.9807875492461524,language,0.3501721835803362,0.10587544013022195
124,-sp,0,1.0,0.6660706502623588,language,0.3501721835803362,0.11508881913583584
125,-sp,0,1.0,0.2903204851834448,language,0.38516927388015443,0.19258463694007721
126,-sp,0,1.0,1.0,language,1.0,1.0
127,-sp,0,1.0,0.9103567471864794,language,1.0,1.0
128,-sp,0,1.0,0.4483950894615019,language,0.3501721835803362,0.1167240611934454
129,-sp,0,1.0,0.6524516435339495,language,0.4319133708215689,0.25194946631258186
130,-sp,0,1.0,0.8258667742147034,language,0.7166112712555013,0.4777408475036675
131,-sp,0,1.0,0.8456789685155593,language,1.0,1.0
132,-sp,1,1.0,1.0,language,1.0,1.0
133,-sp,1,1.0,0.807885698868954,language,1.0,1.0
134,-sp,1,1.0,1.0,language,1.0,1.0
135,-sp,1,1.0,0.24215901500630782,language,1.0,1.0
136,-sp,1,1.0,1.0,language,1.0,1.0
137,-sp,1,1.0,1.0,language,1.0,1.0
138,-sp,1,1.0,0.4245526310717048,language,1.0,1.0
139,-sp,1,1.0,1.0,language,1.0,1.0
140,-sp,1,1.0,0.8243130476002067,language,0.6704968052962513,0.05587473377468761
141,-sp,1,1.0,0.5918047929840878,language,1.0,0.5918047929840878
142,-sp,1,1.0,1.0,language,1.0,1.0
143,-sp,1,1.0,1.0,language,1.0,1.0
144,-sp,2,0.7830215443981452,0.2610071814660484,language,0.41376351625377505,0.10344087906344376
145,-sp,2,1.0,1.0,language,1.0,1.0
146,-sp,2,1.0,1.0,language,1.0,1.0
147,-sp,2,0.7830215443981452,0.23881552094257952,language,1.0,1.0
148,-sp,2,0.7830215443981452,0.1555001081881349,language,1.0,1.0
149,-sp,2,1.0,0.9887498516430886,language,1.0,1.0
150,-sp,2,0.5272408541769099,0.04393673784807583,language,0.22383635104936916,0.03730605850822819
151,-sp,2,1.0,1.0,language,1.0,1.0
152,-sp,2,1.0,0.9825095928756254,language,1.0,1.0
153,-sp,2,1.0,0.6606204907808115,language,0.22383635104936916,0.030426502232008552
154,-sp,2,1.0,0.5057428094101398,language,1.0,1.0
155,-sp,2,1.0,0.8518707519904365,language,1.0,1.0
