,fe,subject,pval,pval_orig,network,pval_LLM_sig,pval_LLM_sig_orig
0,-lt,0,0.9895427900716036,0.5437754165471167,language,1.0,1.0
1,-lt,0,0.7852334824432321,0.13087224707387202,language,0.716525732064204,0.23884191068806798
2,-lt,0,0.9895427900716036,0.5291826055322449,language,0.45111299583368547,0.04808246107353028
3,-lt,0,0.9895427900716036,0.6893166284319212,language,0.5277200791473421,0.13193001978683552
4,-lt,0,0.9895427900716036,0.90708089089897,language,1.0,1.0
5,-lt,0,0.9895427900716036,0.6925971848450283,language,1.0,1.0
6,-lt,0,1.0,1.0,language,1.0,1.0
7,-lt,0,0.9895427900716036,0.7559322644445097,language,0.45111299583368547,0.07518549930561425
8,-lt,0,0.9895427900716036,0.7390859028098948,language,1.0,1.0
9,-lt,0,0.9895427900716036,0.4913277484792783,language,0.8181825838858718,0.3409094099524466
10,-lt,0,0.7852334824432321,0.12498497769878393,language,1.0,1.0
11,-lt,0,0.9895427900716036,0.8502333709635523,language,1.0,1.0
12,-lt,1,1.0,1.0,language,1.0,1.0
13,-lt,1,1.0,0.6059886002099277,language,1.0,1.0
14,-lt,1,1.0,1.0,language,1.0,1.0
15,-lt,1,1.0,0.8743595684947475,language,1.0,1.0
16,-lt,1,1.0,1.0,language,1.0,1.0
17,-lt,1,1.0,1.0,language,1.0,1.0
18,-lt,1,1.0,0.8048509337548733,language,1.0,1.0
19,-lt,1,1.0,1.0,language,1.0,1.0
20,-lt,1,1.0,0.9465640322732368,language,1.0,1.0
21,-lt,1,1.0,1.0,language,1.0,1.0
22,-lt,1,1.0,1.0,language,1.0,1.0
23,-lt,1,1.0,1.0,language,1.0,1.0
24,-lt,2,1.0,0.623595647597669,language,0.8465012887626756,0.1410835481271126
25,-lt,2,1.0,1.0,language,1.0,1.0
26,-lt,2,1.0,0.35647612917246896,language,1.0,0.35647612917246896
27,-lt,2,1.0,0.4032583518875906,language,1.0,1.0
28,-lt,2,1.0,0.9946846532947587,language,1.0,1.0
29,-lt,2,1.0,0.9139426565514727,language,1.0,1.0
30,-lt,2,1.0,0.21296383281437525,language,1.0,1.0
31,-lt,2,1.0,1.0,language,1.0,1.0
32,-lt,2,1.0,0.8200267116167868,language,1.0,1.0
33,-lt,2,1.0,0.17438140186543782,language,0.5966335043598836,0.04971945869665697
34,-lt,2,1.0,0.8026765081340741,language,1.0,1.0
35,-lt,2,1.0,0.9080906107834255,language,1.0,1.0
36,-lt,3,1.0,0.8836269842682486,language,1.0,1.0
37,-lt,3,1.0,0.2020319390078178,language,0.6627844651856675,0.05523203876547229
38,-lt,3,1.0,0.9093109657524312,language,1.0,1.0
39,-lt,3,1.0,0.9191454542864161,language,1.0,1.0
40,-lt,3,1.0,0.2978783592696699,language,1.0,1.0
41,-lt,3,1.0,0.2630454999059849,language,1.0,0.2630454999059849
42,-lt,3,1.0,0.9166908826485076,language,1.0,1.0
43,-lt,3,1.0,0.9779932681209451,language,1.0,1.0
44,-lt,3,1.0,1.0,language,1.0,1.0
45,-lt,3,1.0,0.6357591803442815,language,1.0,1.0
46,-lt,3,1.0,1.0,language,1.0,1.0
47,-lt,3,1.0,0.8891310276732239,language,1.0,1.0
48,-lt,4,1.0,0.992772255247971,language,1.0,1.0
49,-lt,4,1.0,1.0,language,1.0,1.0
50,-lt,4,1.0,1.0,language,1.0,1.0
51,-lt,4,1.0,0.46081152386528756,language,1.0,0.46081152386528756
52,-lt,4,1.0,1.0,language,1.0,1.0
53,-lt,4,1.0,0.5242648724497926,language,1.0,0.5242648724497926
54,-lt,4,1.0,1.0,language,1.0,1.0
55,-lt,4,1.0,1.0,language,1.0,1.0
56,-lt,4,1.0,1.0,language,1.0,1.0
57,-lt,4,1.0,1.0,language,1.0,1.0
58,-lt,4,1.0,1.0,language,1.0,1.0
59,-lt,4,1.0,0.9011829829892127,language,1.0,1.0
60,-mp,0,0.808444275355074,0.39093713550951553,language,0.2665852800376272,0.111077200015678
61,-mp,0,0.808444275355074,0.16019431335560247,language,1.0,0.7738746056935586
62,-mp,0,0.808444275355074,0.22216726132051245,language,0.1301542904602439,0.015852138498401704
63,-mp,0,0.808444275355074,0.32250091976596784,language,0.1301542904602439,0.025873797131093074
64,-mp,0,0.9894753390648372,0.824562782554031,language,0.378012777777891,0.1890063888889455
