,fe,subject,pval,pval_orig,network,pval_LLM_sig,pval_LLM_sig_orig
0,-lt,0,1.0,0.09885164066447515,language,1.0,0.1914135746832208
1,-lt,0,1.0,0.18768403156934516,language,1.0,0.4683114901628689
2,-lt,0,1.0,0.8985730738702408,language,1.0,1.0
3,-lt,0,1.0,0.6689385254660234,language,1.0,0.15243208283484533
4,-lt,0,1.0,0.9363746727699368,language,1.0,1.0
5,-lt,0,1.0,0.9207720043780189,language,1.0,1.0
6,-lt,0,1.0,1.0,language,1.0,1.0
7,-lt,0,1.0,0.9032074854981476,language,1.0,1.0
8,-lt,0,1.0,0.9256199254370732,language,1.0,1.0
9,-lt,0,1.0,0.9763222861237043,language,1.0,1.0
10,-lt,0,1.0,0.9796559656991699,language,1.0,1.0
11,-lt,0,1.0,0.6955599306513518,language,1.0,1.0
12,-lt,1,1.0,1.0,language,1.0,1.0
13,-lt,1,1.0,0.9376559898454523,language,1.0,1.0
14,-lt,1,1.0,1.0,language,1.0,1.0
15,-lt,1,1.0,0.8873772888702627,language,1.0,1.0
16,-lt,1,1.0,1.0,language,1.0,1.0
17,-lt,1,1.0,1.0,language,1.0,1.0
18,-lt,1,1.0,0.929532145179803,language,1.0,1.0
19,-lt,1,1.0,1.0,language,1.0,1.0
20,-lt,1,1.0,0.9446775698603775,language,1.0,1.0
21,-lt,1,1.0,0.4202727881741673,language,1.0,0.4202727881741673
22,-lt,1,1.0,1.0,language,1.0,1.0
23,-lt,1,1.0,1.0,language,1.0,1.0
24,-lt,2,1.0,0.7497048190487601,language,1.0,0.3948981707009884
25,-lt,2,1.0,1.0,language,1.0,1.0
26,-lt,2,1.0,0.39130479061549533,language,1.0,0.39130479061549533
27,-lt,2,1.0,0.4360125740738602,language,1.0,1.0
28,-lt,2,1.0,0.46356974565733816,language,1.0,1.0
29,-lt,2,1.0,0.8139266860884651,language,1.0,1.0
30,-lt,2,1.0,0.981701011937993,language,1.0,1.0
31,-lt,2,1.0,0.7431391489490187,language,1.0,0.7431391489490187
32,-lt,2,1.0,0.9640748682041655,language,1.0,1.0
33,-lt,2,1.0,0.22477136494838068,language,0.7321991557213178,0.06101659631010981
34,-lt,2,1.0,0.9663353992971726,language,1.0,1.0
35,-lt,2,1.0,0.9629012581696015,language,1.0,1.0
36,-lt,3,1.0,0.7098570016394963,language,1.0,1.0
37,-lt,3,1.0,0.9350936112657717,language,1.0,1.0
38,-lt,3,1.0,0.8903022221094119,language,1.0,1.0
39,-lt,3,1.0,0.6702133342268048,language,1.0,1.0
40,-lt,3,1.0,0.9576282636772196,language,1.0,1.0
41,-lt,3,0.5352396278009846,0.044603302316748715,language,0.5352396278009846,0.044603302316748715
42,-lt,3,1.0,0.9314605260598894,language,1.0,1.0
