subjects,Network,Model,perf
1,language,Simple,0.26823716528110136
1,language,gpt2xl-lt,0.2531962428615742
1,language,gpt2xl-mp,0.2536414001126081
1,language,gpt2xl-sp,0.2675449599446727
2,language,Simple,0.08902800320971949
2,language,gpt2xl-lt,0.09756753772383757
2,language,gpt2xl-mp,0.09742801152429637
2,language,gpt2xl-sp,0.0941148994520113
3,language,Simple,0.27653823503149194
3,language,gpt2xl-lt,0.31259829314535786
3,language,gpt2xl-mp,0.31470006703645154
3,language,gpt2xl-sp,0.3204371660500738
4,language,Simple,0.22428592261997682
4,language,gpt2xl-lt,0.21327082459956523
4,language,gpt2xl-mp,0.21586958867858239
4,language,gpt2xl-sp,0.2125194478657789
5,language,Simple,0.1425201412176963
5,language,gpt2xl-lt,0.14001115313558704
5,language,gpt2xl-mp,0.14856808301994873
5,language,gpt2xl-sp,0.15325231511599408
