,feature_extraction,dataset,values
0,-lt,pereira,72.84269037585644
1,-lt,pereira,62.8259741613038
2,-lt,pereira,68.89925161294389
3,-lt,pereira,85.40379177671521
4,-lt,pereira,91.86853918696454
5,-lt,pereira,70.24285062138335
6,-lt,pereira,100.0
7,-lt,pereira,79.95083203453687
8,-lt,pereira,85.62438471755074
9,-lt,pereira,92.70475162635012
10,-mp,pereira,86.81172899333511
11,-mp,pereira,93.32812515844195
12,-mp,pereira,66.01655535228342
13,-mp,pereira,100.0
14,-mp,pereira,77.26178495016215
15,-mp,pereira,75.24511393382252
16,-mp,pereira,100.0
17,-mp,pereira,48.34834669106359
18,-mp,pereira,69.92426845065118
19,-mp,pereira,92.58288107763892
20,-sp,pereira,82.64488180790359
21,-sp,pereira,94.44661032003695
22,-sp,pereira,69.23344428757675
23,-sp,pereira,100.0
24,-sp,pereira,75.78507259603435
25,-sp,pereira,62.872764489871514
26,-sp,pereira,98.0614834009123
27,-sp,pereira,43.69803222456993
28,-sp,pereira,87.36040922125477
29,-sp,pereira,98.8881434583127
30,-lt,fedorenko,98.32858855890652
31,-lt,fedorenko,100.0
32,-lt,fedorenko,82.50649578172752
33,-lt,fedorenko,85.62817077818914
34,-lt,fedorenko,77.84212457491864
35,-mp,fedorenko,94.05847590528353
36,-mp,fedorenko,100.0
37,-mp,fedorenko,80.95441491421286
38,-mp,fedorenko,84.29161896103746
39,-mp,fedorenko,71.65514909884222
40,-sp,fedorenko,91.55183543010247
41,-sp,fedorenko,100.0
42,-sp,fedorenko,77.20234057372485
43,-sp,fedorenko,86.72219746933587
44,-sp,fedorenko,71.70582744837114
45,-lt,blank,100.0
46,-lt,blank,100.0
47,-lt,blank,100.0
48,-lt,blank,98.62477234156717
49,-lt,blank,100.0
50,-mp,blank,100.0
51,-mp,blank,100.0
52,-mp,blank,75.31471918797655
53,-mp,blank,100.0
54,-mp,blank,100.0
55,-sp,blank,100.0
56,-sp,blank,100.0
57,-sp,blank,75.72172312648753
58,-sp,blank,96.21331942791626
59,-sp,blank,100.0
