subjects,Network,Model,perf
018,language,Simple,0.13334855542986382
018,language,gpt2xl-lt,0.14578051637840278
018,language,gpt2xl-mp,0.13563427881713885
018,language,gpt2xl-sp,0.1514872984318209
199,language,Simple,0.03828298454153096
199,language,gpt2xl-lt,0.05219479952194437
199,language,gpt2xl-mp,0.038389015728642686
199,language,gpt2xl-sp,0.03950010128904683
215,language,Simple,0.08001600463169913
215,language,gpt2xl-lt,0.11520714392075457
215,language,gpt2xl-mp,0.1352198906372439
215,language,gpt2xl-sp,0.14285146790079145
288,language,Simple,0.035276635011425424
288,language,gpt2xl-lt,0.03781054791432703
288,language,gpt2xl-mp,0.02893575085663852
288,language,gpt2xl-sp,0.027811467449337803
289,language,Simple,0.21431735445243377
289,language,gpt2xl-lt,0.23009409177705825
289,language,gpt2xl-mp,0.22916380273265263
289,language,gpt2xl-sp,0.2526674462210045
296,language,Simple,0.11662809848162874
296,language,gpt2xl-lt,0.1427073601039065
296,language,gpt2xl-mp,0.1374394617766227
296,language,gpt2xl-sp,0.151085071585596
343,language,Simple,0.23084670681820982
343,language,gpt2xl-lt,0.2343104954603496
343,language,gpt2xl-mp,0.2544405835454391
343,language,gpt2xl-sp,0.2530558012365958
366,language,Simple,0.047992539715153
366,language,gpt2xl-lt,0.07411343575248923
366,language,gpt2xl-mp,0.10450934630019292
366,language,gpt2xl-sp,0.09344268647638543
407,language,Simple,0.07935959381272242
407,language,gpt2xl-lt,0.09504107396554322
407,language,gpt2xl-mp,0.10178009075487737
407,language,gpt2xl-sp,0.09047300455378827
426,language,Simple,0.27669206687759856
426,language,gpt2xl-lt,0.27442101859252027
426,language,gpt2xl-mp,0.23587685596507482
426,language,gpt2xl-sp,0.2673726751545331
