,fe,subject,pval,pval_orig,network,pval_LLM_sig,pval_LLM_sig_orig
0,-lt,0,1.0,0.49810879230970173,language,0.8378329852481342,0.21012874519398694
1,-lt,0,1.0,0.4640036923583898,language,0.8378329852481342,0.27927766174937807
2,-lt,0,1.0,0.9551894105463379,language,1.0,1.0
3,-lt,0,1.0,0.4800137422935219,language,0.6763289173015437,0.06391017736748243
4,-lt,0,1.0,0.77041067526524,language,1.0,1.0
5,-lt,0,1.0,0.960361585299381,language,1.0,1.0
6,-lt,0,1.0,1.0,language,1.0,1.0
7,-lt,0,1.0,0.9591212405416569,language,1.0,1.0
8,-lt,0,1.0,0.917053417944834,language,0.6763289173015437,0.11272148621692395
9,-lt,0,1.0,0.9817241642210485,language,1.0,1.0
10,-lt,0,1.0,0.841732202747466,language,0.9740766051435203,0.4058652521431335
11,-lt,0,1.0,0.9638209415325756,language,1.0,1.0
12,-lt,1,1.0,1.0,language,1.0,1.0
13,-lt,1,1.0,0.8165549032542954,language,1.0,1.0
14,-lt,1,1.0,1.0,language,1.0,1.0
15,-lt,1,1.0,0.7982657880702498,language,1.0,1.0
16,-lt,1,1.0,1.0,language,1.0,1.0
17,-lt,1,1.0,1.0,language,1.0,1.0
18,-lt,1,1.0,0.8416328616503391,language,1.0,1.0
19,-lt,1,1.0,1.0,language,1.0,1.0
20,-lt,1,1.0,0.7026792946213893,language,1.0,0.38669348644642726
21,-lt,1,1.0,1.0,language,1.0,1.0
22,-lt,1,1.0,1.0,language,1.0,1.0
23,-lt,1,1.0,1.0,language,1.0,1.0
24,-lt,2,1.0,0.49441738164244753,language,1.0,0.4581282538379434
25,-lt,2,1.0,1.0,language,1.0,1.0
26,-lt,2,1.0,0.4558555754265823,language,1.0,0.4558555754265823
27,-lt,2,1.0,0.3174833169856561,language,1.0,1.0
28,-lt,2,1.0,0.8994473057157115,language,1.0,1.0
29,-lt,2,1.0,0.8962761541098868,language,1.0,1.0
30,-lt,2,1.0,0.9895604682224052,language,1.0,1.0
31,-lt,2,1.0,1.0,language,1.0,1.0
32,-lt,2,1.0,0.7458275453145831,language,1.0,0.4202239463273024
33,-lt,2,1.0,0.2102907826234247,language,0.49371094972130075,0.04114257914344173
34,-lt,2,1.0,0.8524117821206298,language,1.0,0.3790222933329094
35,-lt,2,1.0,0.671965243605493,language,1.0,1.0
36,-lt,3,1.0,0.955520147944631,language,1.0,1.0
37,-lt,3,1.0,0.7648217532354897,language,1.0,1.0
38,-lt,3,1.0,0.395417029531702,language,0.5656121852559416,0.047134348771328466
39,-lt,3,1.0,0.7533437864706749,language,1.0,1.0
40,-lt,3,1.0,0.7536313866420556,language,1.0,1.0
41,-lt,3,1.0,0.3547906696611899,language,1.0,0.3547906696611899
42,-lt,3,1.0,0.997637795172651,language,1.0,1.0
43,-lt,3,1.0,0.9713203554445172,language,1.0,1.0
44,-lt,3,1.0,1.0,language,1.0,1.0
45,-lt,3,1.0,0.5198496815502962,language,1.0,1.0
46,-lt,3,1.0,1.0,language,1.0,1.0
47,-lt,3,1.0,0.9771580766434586,language,1.0,1.0
48,-lt,4,1.0,0.6546374233974901,language,1.0,1.0
49,-lt,4,1.0,1.0,language,1.0,1.0
50,-lt,4,1.0,1.0,language,1.0,1.0
51,-lt,4,1.0,1.0,language,1.0,1.0
52,-lt,4,1.0,1.0,language,1.0,1.0
53,-lt,4,1.0,1.0,language,1.0,1.0
54,-lt,4,1.0,1.0,language,1.0,1.0
55,-lt,4,1.0,1.0,language,1.0,1.0
56,-lt,4,1.0,1.0,language,1.0,1.0
57,-lt,4,1.0,1.0,language,1.0,1.0
58,-lt,4,1.0,1.0,language,1.0,1.0
59,-lt,4,1.0,0.3752120995583613,language,1.0,0.339638851687285
60,-mp,0,1.0,0.9660980712961539,language,0.45301697798592366,0.26425990382512216
61,-mp,0,0.06096329745533461,0.005080274787944551,language,0.2589655208401126,0.06474138021002815
62,-mp,0,1.0,0.47609354043594715,language,0.3806651550019203,0.15861048125080013
63,-mp,0,1.0,0.20488764347871224,language,0.014914252154941538,0.001242854346245128
64,-mp,0,1.0,0.5048983918861397,language,0.3806651550019203,0.14479544911027933
65,-mp,0,1.0,0.9907300423178468,language,1.0,1.0
66,-mp,0,1.0,1.0,language,1.0,1.0
67,-mp,0,1.0,0.9897503304196105,language,1.0,1.0
68,-mp,0,1.0,0.6907698289981477,language,0.04577335453330908,0.0076288924222181805
69,-mp,0,1.0,0.35975494423367804,language,0.3936530753615789,0.19682653768078945
70,-mp,0,1.0,0.9713011994326103,language,1.0,1.0
71,-mp,0,1.0,0.379119441811421,language,1.0,1.0
72,-mp,1,1.0,1.0,language,1.0,1.0
73,-mp,1,1.0,0.16644504103647484,language,0.7532759878762503,0.12554599797937505
74,-mp,1,1.0,1.0,language,1.0,1.0
75,-mp,1,1.0,0.9917328189320571,language,1.0,1.0
76,-mp,1,1.0,1.0,language,1.0,1.0
77,-mp,1,1.0,1.0,language,1.0,1.0
78,-mp,1,1.0,0.22564889439256147,language,0.7532759878762503,0.07875406161779139
79,-mp,1,1.0,1.0,language,1.0,1.0
80,-mp,1,1.0,0.5246456651082527,language,1.0,1.0
81,-mp,1,1.0,1.0,language,1.0,1.0
82,-mp,1,1.0,1.0,language,1.0,1.0
83,-mp,1,1.0,1.0,language,1.0,1.0
84,-mp,2,0.29574450371456085,0.04929075061909348,language,0.16323907436538287,0.02720651239423048
85,-mp,2,1.0,1.0,language,1.0,1.0
86,-mp,2,1.0,1.0,language,1.0,1.0
87,-mp,2,1.0,0.5965146519607878,language,1.0,1.0
88,-mp,2,1.0,0.9997598259674043,language,1.0,1.0
89,-mp,2,1.0,0.6683509821977283,language,1.0,1.0
90,-mp,2,0.29574450371456085,0.02557679738245612,language,1.0,0.36518492067624486
91,-mp,2,1.0,1.0,language,1.0,1.0
92,-mp,2,1.0,0.9922884407788911,language,1.0,1.0
93,-mp,2,1.0,0.418993048999818,language,0.13829942548236823,0.011524952123530685
94,-mp,2,1.0,0.9629086069399589,language,1.0,1.0
95,-mp,2,1.0,0.5413355146390867,language,0.9421092360899859,0.23552730902249647
96,-mp,3,1.0,0.9116679508690428,language,1.0,1.0
97,-mp,3,1.0,0.7838469177449243,language,1.0,0.3981639583229814
98,-mp,3,1.0,0.9947736761205084,language,1.0,0.21336201881247474
99,-mp,3,1.0,0.9972539462253819,language,1.0,1.0
100,-mp,3,1.0,0.9999526166002026,language,1.0,1.0
101,-mp,3,1.0,0.29588751534046964,language,1.0,0.29588751534046964
102,-mp,3,1.0,0.16148178651055334,language,1.0,1.0
103,-mp,3,1.0,0.9699432131351603,language,1.0,1.0
104,-mp,3,1.0,1.0,language,1.0,1.0
105,-mp,3,1.0,0.5198496815502962,language,1.0,1.0
106,-mp,3,1.0,1.0,language,1.0,1.0
107,-mp,3,1.0,0.174985514341293,language,1.0,1.0
108,-mp,4,1.0,0.9994372298250964,language,1.0,1.0
109,-mp,4,1.0,1.0,language,1.0,1.0
110,-mp,4,1.0,1.0,language,1.0,1.0
111,-mp,4,1.0,1.0,language,1.0,1.0
112,-mp,4,1.0,1.0,language,1.0,1.0
113,-mp,4,1.0,1.0,language,1.0,1.0
114,-mp,4,1.0,1.0,language,1.0,1.0
115,-mp,4,1.0,1.0,language,1.0,1.0
116,-mp,4,1.0,1.0,language,1.0,1.0
117,-mp,4,1.0,1.0,language,1.0,1.0
118,-mp,4,1.0,1.0,language,1.0,1.0
119,-mp,4,1.0,0.9562447652375486,language,1.0,1.0
120,-sp,0,1.0,0.26059478268110536,language,0.3602534639291834,0.05109438240004184
121,-sp,0,1.0,0.539863536994016,language,1.0,1.0
122,-sp,0,1.0,0.9766305911358997,language,1.0,1.0
123,-sp,0,1.0,0.5982163159089471,language,0.3602534639291834,0.060042243988197234
124,-sp,0,1.0,0.9532534330697531,language,0.837034270685543,0.48826999123323345
125,-sp,0,1.0,0.977856331520686,language,0.4990987419637528,0.16636624732125094
126,-sp,0,1.0,1.0,language,1.0,1.0
127,-sp,0,1.0,0.7256834508623955,language,1.0,1.0
128,-sp,0,1.0,0.9756143673296065,language,0.4990987419637528,0.1335022909917615
129,-sp,0,1.0,0.9197035128953549,language,0.6070132863056893,0.30350664315284465
130,-sp,0,1.0,0.7405334401579042,language,1.0,1.0
131,-sp,0,1.0,0.7322786901471318,language,0.528685861343078,0.22028577555961587
132,-sp,1,1.0,0.3610872166137037,language,1.0,0.3610872166137037
133,-sp,1,1.0,0.8869774323941242,language,1.0,1.0
134,-sp,1,1.0,1.0,language,1.0,1.0
135,-sp,1,1.0,0.8097416839395012,language,1.0,0.393349921188677
136,-sp,1,1.0,1.0,language,1.0,1.0
137,-sp,1,1.0,1.0,language,1.0,1.0
138,-sp,1,1.0,0.9693872004563289,language,1.0,1.0
139,-sp,1,1.0,1.0,language,1.0,1.0
140,-sp,1,1.0,0.13113744449096354,language,1.0,1.0
141,-sp,1,1.0,0.2905642337344257,language,1.0,0.2905642337344257
142,-sp,1,1.0,1.0,language,1.0,1.0
143,-sp,1,1.0,1.0,language,1.0,1.0
144,-sp,2,1.0,0.7568678892830871,language,1.0,0.45838556421888854
145,-sp,2,1.0,1.0,language,1.0,1.0
146,-sp,2,1.0,1.0,language,1.0,1.0
147,-sp,2,1.0,0.5881907323386147,language,1.0,1.0
148,-sp,2,1.0,0.8936011572375603,language,1.0,1.0
149,-sp,2,1.0,0.981632355398249,language,1.0,1.0
150,-sp,2,0.2942140915608011,0.02451784096340009,language,0.2989850894266858,0.0294311587989393
151,-sp,2,1.0,1.0,language,1.0,1.0
152,-sp,2,1.0,0.9691910573810557,language,1.0,1.0
153,-sp,2,1.0,0.79734061394402,language,0.2989850894266858,0.04983084823778096
154,-sp,2,1.0,0.6002357876287656,language,1.0,1.0
155,-sp,2,1.0,0.31229826332195376,language,0.742911838295593,0.18572795957389826
156,-sp,3,1.0,0.9827368443946584,language,1.0,1.0
157,-sp,3,1.0,0.8668303460430022,language,0.7004819305283165,0.23349397684277218
158,-sp,3,1.0,0.9828815150331202,language,0.7004819305283165,0.10012315949331889
159,-sp,3,1.0,0.8680047135146765,language,1.0,1.0
160,-sp,3,1.0,0.5202639707342009,language,0.7004819305283165,0.13614327267361917
161,-sp,3,1.0,0.17898332746513396,language,0.7004819305283165,0.17898332746513396
162,-sp,3,1.0,0.9314048702782529,language,1.0,1.0
163,-sp,3,1.0,0.7998768700397865,language,0.8944687231355725,0.44723436156778623
164,-sp,3,1.0,1.0,language,1.0,1.0
165,-sp,3,1.0,0.391422425739906,language,0.8467127659573636,0.3527969858155682
166,-sp,3,1.0,1.0,language,1.0,1.0
167,-sp,3,1.0,0.9840858055567331,language,1.0,1.0
168,-sp,4,1.0,0.841100318450835,language,1.0,0.42847870360412
169,-sp,4,1.0,1.0,language,1.0,1.0
170,-sp,4,1.0,1.0,language,1.0,1.0
171,-sp,4,1.0,1.0,language,1.0,1.0
172,-sp,4,1.0,1.0,language,1.0,1.0
173,-sp,4,1.0,1.0,language,1.0,1.0
174,-sp,4,1.0,1.0,language,1.0,1.0
175,-sp,4,1.0,1.0,language,1.0,1.0
176,-sp,4,1.0,1.0,language,1.0,1.0
177,-sp,4,1.0,1.0,language,1.0,1.0
178,-sp,4,1.0,1.0,language,1.0,1.0
179,-sp,4,1.0,0.9394216984153766,language,1.0,1.0
