,fe,subject,pval,pval_orig,network,pval_LLM_sig,pval_LLM_sig_orig
0,-lt,0,1.0,0.5322072106826895,language,1.0,1.0
1,-lt,0,1.0,0.2803763865419058,language,0.19086982998008437,0.04311340191242407
2,-lt,0,1.0,0.35789610541440153,language,0.19086982998008437,0.04771745749502109
3,-lt,0,1.0,0.8541685247142593,language,0.919625221374953,0.3831771755728971
4,-lt,0,1.0,0.9667697013131717,language,1.0,1.0
5,-lt,0,1.0,0.9314370178009598,language,1.0,1.0
6,-lt,0,1.0,1.0,language,1.0,1.0
7,-lt,0,1.0,0.5737317117729341,language,0.19086982998008437,0.033036567330240435
8,-lt,0,1.0,0.9958709772944215,language,1.0,1.0
9,-lt,0,1.0,0.31887205887138115,language,0.5177897741321551,0.17259659137738503
10,-lt,0,1.0,0.08914158277932585,language,1.0,1.0
11,-lt,0,1.0,0.7832893198640589,language,1.0,1.0
12,-lt,1,1.0,1.0,language,1.0,1.0
13,-lt,1,1.0,0.8015476000983288,language,1.0,1.0
14,-lt,1,1.0,1.0,language,1.0,1.0
15,-lt,1,1.0,0.7889010059314421,language,1.0,1.0
16,-lt,1,1.0,1.0,language,1.0,1.0
17,-lt,1,1.0,1.0,language,1.0,1.0
18,-lt,1,1.0,0.6784973551900425,language,1.0,1.0
19,-lt,1,1.0,1.0,language,1.0,1.0
20,-lt,1,1.0,0.9548249413131339,language,1.0,1.0
21,-lt,1,1.0,1.0,language,1.0,1.0
22,-lt,1,1.0,1.0,language,1.0,1.0
23,-lt,1,1.0,1.0,language,1.0,1.0
24,-lt,2,1.0,0.4790455165747158,language,1.0,0.2953554944389871
25,-lt,2,1.0,1.0,language,1.0,1.0
26,-lt,2,0.7954729261511865,0.13257882102519775,language,0.7954729261511865,0.13257882102519775
27,-lt,2,1.0,0.6946220888233268,language,1.0,1.0
28,-lt,2,1.0,0.9828041721175028,language,1.0,1.0
29,-lt,2,1.0,0.9802069648166691,language,1.0,1.0
30,-lt,2,0.945777902838506,0.2364444757096265,language,1.0,1.0
31,-lt,2,1.0,1.0,language,1.0,1.0
32,-lt,2,1.0,0.763307914675212,language,1.0,1.0
33,-lt,2,0.7954729261511865,0.08133693908400082,language,0.4357010097667307,0.03630841748056089
34,-lt,2,1.0,0.675839651750682,language,1.0,1.0
35,-lt,2,1.0,0.8991588354230089,language,1.0,1.0
36,-lt,3,1.0,0.8868818557683883,language,1.0,1.0
37,-lt,3,0.5551679528305988,0.04626399606921657,language,0.31593522045217937,0.026327935037681615
38,-lt,3,1.0,0.7947925094059608,language,1.0,1.0
39,-lt,3,1.0,0.8948024830936532,language,1.0,1.0
40,-lt,3,1.0,0.7879449751620834,language,1.0,1.0
41,-lt,3,1.0,0.18951474738736673,language,1.0,0.18951474738736673
42,-lt,3,1.0,0.9276386749896397,language,1.0,1.0
43,-lt,3,1.0,0.9762432897366731,language,1.0,1.0
44,-lt,3,1.0,1.0,language,1.0,1.0
45,-lt,3,1.0,0.5198496815502962,language,1.0,1.0
46,-lt,3,1.0,1.0,language,1.0,1.0
47,-lt,3,1.0,0.9744542905035982,language,1.0,1.0
48,-lt,4,1.0,0.9985873967074254,language,1.0,1.0
49,-lt,4,1.0,1.0,language,1.0,1.0
50,-lt,4,1.0,1.0,language,1.0,1.0
51,-lt,4,1.0,0.14106150015981003,language,1.0,0.14106150015981003
52,-lt,4,1.0,1.0,language,1.0,1.0
53,-lt,4,1.0,0.4287297543725545,language,1.0,0.4287297543725545
54,-lt,4,1.0,1.0,language,1.0,1.0
55,-lt,4,1.0,1.0,language,1.0,1.0
56,-lt,4,1.0,1.0,language,1.0,1.0
57,-lt,4,1.0,1.0,language,1.0,1.0
58,-lt,4,1.0,1.0,language,1.0,1.0
59,-lt,4,1.0,0.890152272879672,language,1.0,1.0
60,-mp,0,0.7867481892453835,0.5382889845967592,language,0.4745941860861658,0.252929494035512
61,-mp,0,0.7867481892453835,0.5252083888355837,language,0.6057557602813248,0.4543168202109936
62,-mp,0,0.3265359937264306,0.027211332810535886,language,0.030188095704483796,0.002515674642040316
63,-mp,0,0.7867481892453835,0.13138157131368947,language,0.2609327757564214,0.04348879595940357
