,fe,subject,pval,pval_orig,network,pval_LLM_sig,pval_LLM_sig_orig
0,-lt,0,1.0,0.11858714780406444,language,0.9266285264129754,0.23165713160324386
1,-lt,0,1.0,0.23151151289784355,language,0.9266285264129754,0.19646187683875788
2,-lt,0,1.0,0.9583905248874893,language,1.0,1.0
3,-lt,0,1.0,0.3920664345669409,language,0.9266285264129754,0.1832742576816272
4,-lt,0,1.0,0.8949780604477401,language,1.0,1.0
5,-lt,0,1.0,0.9822964581349483,language,1.0,1.0
6,-lt,0,1.0,1.0,language,1.0,1.0
7,-lt,0,1.0,0.9560492134283387,language,1.0,1.0
8,-lt,0,1.0,0.9776765679922177,language,1.0,1.0
9,-lt,0,1.0,0.931441803489289,language,1.0,1.0
10,-lt,0,1.0,0.9293064574526357,language,1.0,1.0
11,-lt,0,1.0,0.8047446440450731,language,1.0,1.0
12,-lt,1,1.0,1.0,language,1.0,1.0
13,-lt,1,1.0,0.9381829090043116,language,1.0,1.0
14,-lt,1,1.0,1.0,language,1.0,1.0
15,-lt,1,1.0,0.8423398011392856,language,1.0,1.0
16,-lt,1,1.0,1.0,language,1.0,1.0
17,-lt,1,1.0,1.0,language,1.0,1.0
18,-lt,1,1.0,0.8160720901950689,language,1.0,1.0
19,-lt,1,1.0,1.0,language,1.0,1.0
20,-lt,1,1.0,0.8863983115495813,language,1.0,1.0
21,-lt,1,1.0,0.2726951359918513,language,1.0,0.2726951359918513
22,-lt,1,1.0,1.0,language,1.0,1.0
23,-lt,1,1.0,1.0,language,1.0,1.0
24,-lt,2,1.0,0.4903654222268934,language,1.0,0.42791469056590503
25,-lt,2,1.0,1.0,language,1.0,1.0
26,-lt,2,1.0,0.19626211538949428,language,1.0,0.19626211538949428
27,-lt,2,1.0,0.6495466286507126,language,1.0,1.0
28,-lt,2,1.0,0.81631724836512,language,1.0,1.0
29,-lt,2,1.0,0.673014081598571,language,1.0,1.0
30,-lt,2,1.0,0.9799082543491119,language,1.0,1.0
31,-lt,2,1.0,0.31505667881366684,language,1.0,0.31505667881366684
32,-lt,2,1.0,0.9547075673743113,language,1.0,1.0
33,-lt,2,0.258425318514648,0.021535443209554,language,0.2892384386506648,0.02410320322088873
34,-lt,2,1.0,0.9771749775422649,language,1.0,1.0
35,-lt,2,1.0,0.9672941064441609,language,1.0,1.0
36,-lt,3,1.0,0.9678616193959604,language,1.0,1.0
37,-lt,3,1.0,0.8971351920840805,language,1.0,1.0
38,-lt,3,1.0,0.6491698220544881,language,1.0,1.0
39,-lt,3,1.0,0.635489672236114,language,1.0,1.0
40,-lt,3,1.0,0.9391945083893858,language,1.0,1.0
41,-lt,3,1.0,0.11033972867912943,language,1.0,0.11033972867912943
42,-lt,3,1.0,0.9541826934596926,language,1.0,1.0
43,-lt,3,1.0,0.9095515585469646,language,1.0,1.0
44,-lt,3,1.0,1.0,language,1.0,1.0
45,-lt,3,1.0,0.5198496815502962,language,1.0,1.0
46,-lt,3,1.0,1.0,language,1.0,1.0
47,-lt,3,1.0,0.8956473661684501,language,1.0,1.0
48,-lt,4,1.0,0.947568387159043,language,1.0,1.0
49,-lt,4,1.0,1.0,language,1.0,1.0
50,-lt,4,1.0,1.0,language,1.0,1.0
51,-lt,4,1.0,0.1525113866265927,language,1.0,0.1525113866265927
52,-lt,4,1.0,1.0,language,1.0,1.0
53,-lt,4,1.0,0.4409179508668332,language,1.0,0.4409179508668332
54,-lt,4,1.0,1.0,language,1.0,1.0
55,-lt,4,1.0,1.0,language,1.0,1.0
56,-lt,4,1.0,1.0,language,1.0,1.0
57,-lt,4,1.0,1.0,language,1.0,1.0
58,-lt,4,1.0,1.0,language,1.0,1.0
59,-lt,4,1.0,0.4276387995970577,language,1.0,0.47432100698096624
60,-mp,0,1.0,0.42368431689977815,language,0.8190859966484184,0.4003459871620206
61,-mp,0,1.0,0.539863536994016,language,1.0,1.0
62,-mp,0,1.0,0.501357771403603,language,0.6772504257907435,0.06180565469234568
63,-mp,0,1.0,0.24942061602289112,language,0.780278972431921,0.19506974310798025
64,-mp,0,1.0,0.9875638133103685,language,1.0,1.0
65,-mp,0,1.0,0.9812104811427669,language,1.0,1.0
66,-mp,0,1.0,1.0,language,1.0,1.0
67,-mp,0,1.0,0.84803603685579,language,1.0,1.0
68,-mp,0,1.0,0.9910034319775539,language,0.6772504257907435,0.11287507096512392
69,-mp,0,1.0,0.6174981412706493,language,0.8190859966484184,0.4095429983242092
70,-mp,0,1.0,0.79372058816916,language,1.0,1.0
71,-mp,0,1.0,0.7574381843394344,language,0.8190859966484184,0.39005425982050435
72,-mp,1,1.0,0.3242424471361714,language,1.0,0.3242424471361714
73,-mp,1,1.0,0.4326188655101274,language,1.0,0.35477366318241277
74,-mp,1,1.0,1.0,language,1.0,1.0
75,-mp,1,1.0,0.8929015619129623,language,1.0,0.49567680384278257
76,-mp,1,1.0,1.0,language,1.0,1.0
