,fe,subject,pval,pval_orig,network,pval_LLM_sig,pval_LLM_sig_orig
0,-lt,1,0.5451448511301186,0.10223274183564979,language,0.021859546755440547,0.013022708705368837
1,-lt,1,1.0,1.0,language,1.0,1.0
2,-lt,1,0.7282924268491809,0.32540725454963404,language,2.3405475066632916e-06,1.9919553248198226e-07
3,-lt,1,0.7282924268491809,0.23683418808391615,language,2.1517292252266445e-05,3.6625178301730117e-06
4,-lt,1,0.4542368544318512,0.03865845569632776,language,0.010444883714874387,0.00488909450483482
5,-lt,1,0.5565074108194573,0.11840583208924622,language,9.319860985603769e-07,5.9488474376194273e-08
6,-lt,1,1.0,0.7172797547216176,language,0.01063434661199892,0.0055938479545986795
7,-lt,1,1.0,1.0,language,1.0,1.0
8,-lt,1,0.4542368544318512,0.021185502706197745,language,9.783396938322908e-05,2.0815738166644485e-05
9,-lt,1,0.7282924268491809,0.23363911470838178,language,1.0934713888932924e-05,1.1632674349928642e-06
10,-lt,1,0.955332163196088,0.5599299597361316,language,0.007786593758705437,0.003313444152640611
11,-lt,1,0.6520959535879967,0.1526182019035737,language,0.08054584539106113,0.054839724521573534
12,-lt,1,0.5451448511301186,0.07378529744491233,language,0.10508815090639029,0.07378529744491233
13,-lt,1,0.5451448511301186,0.10438943957810781,language,0.007222292518707261,0.0029196501671369776
14,-lt,1,0.7282924268491809,0.2970564643822661,language,0.011708293920296483,0.006495399742996541
15,-lt,1,1.0,0.6817411932556672,language,0.01063434661199892,0.005656567346807936
16,-lt,1,1.0,0.8380711240936061,language,0.36143651022888346,0.2614647095272774
17,-lt,1,1.0,0.7026649717684423,language,1.0,1.0
18,-lt,1,0.4542368544318512,0.03302291962072614,language,3.862841728043247e-05,7.3969309685934516e-06
19,-lt,1,0.7282924268491809,0.3215806635181583,language,0.47396229619501634,0.39328786280011996
20,-lt,1,1.0,1.0,language,1.0,1.0
21,-lt,1,1.0,0.9285995268295011,language,0.39576095787228593,0.30313605283834666
22,-lt,1,0.9950839538203476,0.613987971506172,language,0.003866067776984937,0.0014806217018240183
23,-lt,1,1.0,0.7548878728978902,language,8.960855202297216e-08,1.906564936658982e-09
24,-lt,1,0.7282924268491809,0.25129167111280626,language,0.0013291286124462681,0.0004078038493835722
25,-lt,1,1.0,0.9894042364775969,language,1.1245588824647115e-05,1.6748749313304213e-06
26,-lt,1,0.8517259426548274,0.47116754274522366,language,3.1312707182582845e-07,1.3324556247907594e-08
27,-lt,1,1.0,0.7862722926439201,language,1.0,1.0
28,-lt,1,1.0,0.9959763338891962,language,0.00028154312154967027,6.589307100098667e-05
29,-lt,1,0.5451448511301186,0.09346652202064977,language,1.1245588824647115e-05,1.6708117121562586e-06
30,-lt,1,0.7840698373039202,0.38369375017000346,language,0.47396229619501634,0.38369375017000346
31,-lt,1,0.955332163196088,0.5691340546700099,language,0.0021198915090588767,0.0007216651945732346
32,-lt,1,1.0,0.9520924475227542,language,0.08041287130698299,0.05303827681949942
33,-lt,1,0.7062237301086831,0.19533847854069958,language,0.010600364236856423,0.005187412286121228
34,-lt,1,0.6631124809971374,0.16930531429714146,language,0.0013291286124462681,0.0004241899826956175
35,-lt,1,0.4542368544318512,0.014650045778560796,language,0.0009866592524953967,0.00025191300063712256
36,-lt,1,1.0,0.9649421558405139,language,0.011708293920296483,0.006726041188255426
37,-lt,1,1.0,0.8886971317730237,language,0.0010066698467838479,0.00027844059591893667
38,-lt,1,0.5451448511301186,0.09453978224672893,language,0.002168144552797951,0.0007842224978205354
39,-lt,1,0.7282924268491809,0.2955532796327607,language,0.010444883714874387,0.004817622865430916
40,-lt,1,0.8137063513637149,0.432822527321125,language,0.05838280477560142,0.03726562006953282
41,-lt,1,0.7840698373039202,0.38131247333736873,language,0.05504414962397667,0.03396341147011327
42,-lt,1,0.8137063513637149,0.426672881207871,language,0.5013406354192484,0.426672881207871
43,-lt,1,1.0,1.0,language,1.0,1.0
44,-lt,1,1.0,0.9983818930074156,language,0.4016597942825576,0.3162002635841411
45,-lt,1,1.0,1.0,language,1.0,1.0
46,-lt,1,0.7282924268491809,0.30300625219391436,language,0.39576095787228593,0.30300625219391436
47,-lt,2,1.0,0.5334300836668018,language,0.07027278723699706,0.017568196809249266
48,-lt,2,1.0,0.32237394000255837,language,0.07027278723699706,0.01610164932720227
49,-lt,2,1.0,0.762190559032555,language,0.09581947712083988,0.035932303920314955
50,-lt,2,1.0,1.0,language,1.0,1.0
51,-lt,2,0.6133554057957552,0.0766694257244694,language,0.1533388514489388,0.0766694257244694
52,-lt,2,1.0,1.0,language,1.0,1.0
53,-lt,2,1.0,1.0,language,1.0,1.0
54,-lt,2,1.0,1.0,language,1.0,1.0
55,-lt,3,0.12343048278389139,0.013714498087099044,language,3.9718328599180724e-06,4.413147622131192e-07
56,-lt,3,0.7110207115899251,0.39501150643884725,language,0.0007566654313685588,0.00033629574727491503
57,-lt,3,0.8215834597278237,0.7302964086469543,language,0.11485371943661307,0.08933067067292128
58,-lt,3,0.8215834597278237,0.6523987696380451,language,0.4593281049325798,0.40829164882895985
59,-lt,3,1.0,1.0,language,1.0,1.0
60,-lt,3,0.17924118290515095,0.03983137397892243,language,6.279334947069248e-05,1.3954077660153884e-05
61,-lt,3,0.5133638277750437,0.22816170123335278,language,0.0002415214518582242,8.050715061940807e-05
62,-lt,3,0.8215834597278237,0.5586111736959894,language,0.01418029458938684,0.007877941438548244
63,-lt,3,0.5133638277750437,0.20570756713120908,language,0.04346060117187227,0.028973734114581512
64,-lt,4,0.24136141109499787,0.0643630429586661,language,0.002574371583463621,0.0008581238611545403
65,-lt,4,1.0,0.8736464390478531,language,0.06312227006771562,0.03366521070278166
66,-lt,4,1.0,0.9789613073974226,language,0.2138051232112413,0.1425367488074942
67,-lt,4,0.04248192566933476,0.0028321283779556504,language,5.333238488571468e-06,3.555492325714312e-07
68,-lt,4,1.0,0.5693947696034181,language,0.0012240553884040398,0.00032641477024107727
69,-lt,4,0.6033610212201356,0.24134440848805422,language,0.27455480367660606,0.20134018936284448
70,-lt,4,0.2725554472287296,0.09085181574290986,language,0.00044328098086586514,8.865619617317303e-05
71,-lt,4,0.13977542925775974,0.018636723901034633,language,9.689924364646156e-05,1.2919899152861541e-05
72,-lt,4,1.0,0.7354745675168419,language,0.21179058858619368,0.1270743531517162
73,-lt,4,0.24136141109499787,0.05172631850039626,language,0.005014785699040719,0.0023402333262190025
74,-lt,4,1.0,1.0,language,1.0,1.0
75,-lt,4,1.0,1.0,language,1.0,1.0
76,-lt,4,1.0,0.8337506353424271,language,0.27482885187374956,0.21986308149899964
