,feature_extraction,dataset,values
0,-lt,pereira,100.0
1,-lt,pereira,58.787131907646604
2,-lt,pereira,64.22401396370844
3,-lt,pereira,100.0
4,-lt,pereira,100.0
5,-lt,pereira,91.8400641352554
6,-lt,pereira,95.62522727321749
7,-lt,pereira,44.963748002252466
8,-lt,pereira,74.38304790402125
9,-lt,pereira,100.0
10,-mp,pereira,89.3278150664066
11,-mp,pereira,100.0
12,-mp,pereira,66.25358114008897
13,-mp,pereira,100.0
14,-mp,pereira,79.07521625490583
15,-mp,pereira,55.13101083147216
16,-mp,pereira,85.93692557906945
17,-mp,pereira,49.138288990226954
18,-mp,pereira,65.88827540087463
19,-mp,pereira,85.78100483809936
20,-sp,pereira,90.71750801850571
21,-sp,pereira,100.0
22,-sp,pereira,71.74722514606844
23,-sp,pereira,100.0
24,-sp,pereira,80.69000077404228
25,-sp,pereira,53.15416858714394
26,-sp,pereira,86.11679129741012
27,-sp,pereira,47.82068604754183
28,-sp,pereira,100.0
29,-sp,pereira,92.55566639864821
30,-lt,fedorenko,91.13598309210104
31,-lt,fedorenko,80.72355269647353
32,-lt,fedorenko,85.16817524854075
33,-lt,fedorenko,82.23313258289404
34,-lt,fedorenko,79.71411203789022
35,-mp,fedorenko,90.40915765109948
36,-mp,fedorenko,74.03694344967026
37,-mp,fedorenko,79.36482349479847
38,-mp,fedorenko,80.59734567724945
39,-mp,fedorenko,71.78037044517815
40,-sp,fedorenko,90.49205671517963
41,-sp,fedorenko,76.35359007996281
42,-sp,fedorenko,75.17588569226838
43,-sp,fedorenko,82.87446597228303
44,-sp,fedorenko,69.83484455037383
45,-lt,blank,100.0
46,-lt,blank,100.0
47,-lt,blank,54.693489708936525
48,-lt,blank,65.97225711112009
49,-lt,blank,100.0
50,-mp,blank,79.48234261558906
51,-mp,blank,29.08863252154854
52,-mp,blank,34.54103569838891
53,-mp,blank,100.0
54,-mp,blank,100.0
55,-sp,blank,74.68968196564401
56,-sp,blank,46.384919472313534
57,-sp,blank,22.258887536744755
58,-sp,blank,100.0
59,-sp,blank,100.0
