,feature_extraction,dataset,values
0,-lt,pereira,67.68409201214062
1,-lt,pereira,66.92441144590148
2,-lt,pereira,93.21238847205194
3,-lt,pereira,100.0
4,-lt,pereira,96.29847532503163
5,-lt,pereira,95.5178495044067
6,-lt,pereira,98.749516688406
7,-lt,pereira,100.0
8,-lt,pereira,96.94385798706817
9,-lt,pereira,100.0
10,-mp,pereira,72.22575420053234
11,-mp,pereira,75.59515968768923
12,-mp,pereira,53.99328691418025
13,-mp,pereira,100.0
14,-mp,pereira,88.53029784775426
15,-mp,pereira,81.548213779916
16,-mp,pereira,100.0
17,-mp,pereira,39.76624417067753
18,-mp,pereira,100.0
19,-mp,pereira,93.20782506753189
20,-sp,pereira,78.02410757320735
21,-sp,pereira,58.73921698986606
22,-sp,pereira,62.48553793225688
23,-sp,pereira,100.0
24,-sp,pereira,81.64850463508992
25,-sp,pereira,70.30093940851636
26,-sp,pereira,100.0
27,-sp,pereira,38.664689303519985
28,-sp,pereira,100.0
29,-sp,pereira,85.59954365300635
30,-lt,fedorenko,93.31237712648606
31,-lt,fedorenko,91.2898494614215
32,-lt,fedorenko,85.4772560476667
33,-lt,fedorenko,84.69848876937114
34,-lt,fedorenko,80.89419749783251
35,-mp,fedorenko,86.54784969569747
36,-mp,fedorenko,83.66912202003722
37,-mp,fedorenko,82.45762695411543
38,-mp,fedorenko,75.27236930948898
39,-mp,fedorenko,67.61024722388312
40,-sp,fedorenko,87.33356000864303
41,-sp,fedorenko,88.02480267741939
42,-sp,fedorenko,77.14149428898158
43,-sp,fedorenko,79.99299006984273
44,-sp,fedorenko,69.10997046334697
45,-lt,blank,83.75977375638675
46,-lt,blank,100.0
47,-lt,blank,100.0
48,-lt,blank,100.0
49,-lt,blank,79.33188479195998
50,-mp,blank,100.0
51,-mp,blank,100.0
52,-mp,blank,100.0
53,-mp,blank,100.0
54,-mp,blank,100.0
55,-sp,blank,100.0
56,-sp,blank,74.08905240438628
57,-sp,blank,27.18391325296675
58,-sp,blank,100.0
59,-sp,blank,100.0
