subjects,Network,Model,perf
0,language,GPT2XLU-lt,0.08209264252362018
0,language,GPT2XLU-mp,0.11096688663247012
0,language,GPT2XLU-sp,0.09990488000046106
0,language,Simple,0.15553550006708813
1,language,GPT2XLU-lt,0.03815886909933192
1,language,GPT2XLU-mp,0.04043274434370932
1,language,GPT2XLU-sp,0.03954681211987183
1,language,Simple,0.061062992950261595
2,language,GPT2XLU-lt,0.03587847880103223
2,language,GPT2XLU-mp,0.058016019932932116
2,language,GPT2XLU-sp,0.048518322089623006
2,language,Simple,0.07750097502335453
3,language,GPT2XLU-lt,0.028859242262435063
3,language,GPT2XLU-mp,0.058937041483618946
3,language,GPT2XLU-sp,0.04946849646976558
3,language,Simple,0.11102213708752832
4,language,GPT2XLU-lt,0.0042555161504517665
4,language,GPT2XLU-mp,0.021055608822317284
4,language,GPT2XLU-sp,0.007050774377302493
4,language,Simple,0.012406564407523635
