,fe,subject,pval,pval_orig,network,pval_LLM_sig,pval_LLM_sig_orig
0,-lt,0,1.0,0.811142339895181,language,8.621252112544357e-38,7.184376760453631e-39
1,-lt,0,1.0,0.15785031205733824,language,9.611235060082282e-16,8.810298805075426e-16
2,-lt,0,1.0,0.9546784632993331,language,3.251762452000253e-29,1.8968614303334813e-29
3,-lt,0,1.0,0.9591607946894666,language,1.6753930486880235e-33,4.188482621720059e-34
4,-lt,0,1.0,0.9197523695946284,language,5.0455689600956704e-30,2.5227844800478352e-30
5,-lt,0,1.0,0.5094767362614713,language,1.6554462324660359e-34,2.75907705411006e-35
6,-lt,0,1.0,1.0,language,3.206789012355836e-11,3.206789012355836e-11
7,-lt,0,1.0,0.9312543032509819,language,4.53169834762149e-28,3.02113223174766e-28
8,-lt,0,1.0,0.9203618999248783,language,1.8086763499262083e-27,1.3565072624446564e-27
9,-lt,0,1.0,0.5648182765812204,language,2.9094654237635146e-25,2.424554519802929e-25
10,-lt,0,1.0,0.3153919861851293,language,2.182653385902792e-30,9.0943891079283e-31
11,-lt,0,1.0,0.5425297638412431,language,6.822494228616997e-31,2.2741647428723323e-31
12,-lt,1,1.0,1.0,language,1.6708281321802687e-30,1.1138854214535126e-30
13,-lt,1,1.0,0.5235911526142567,language,5.627587067666058e-37,1.875862355888686e-37
14,-lt,1,1.0,1.0,language,1.1085452449292978e-30,6.466513928754238e-31
15,-lt,1,1.0,0.632969157092244,language,1.7294026674120705e-33,7.205844447550294e-34
16,-lt,1,1.0,1.0,language,1.2603961834360957e-15,1.2603961834360957e-15
17,-lt,1,1.0,1.0,language,2.3070755525482755e-31,1.1535377762741378e-31
18,-lt,1,1.0,0.7689966334784442,language,2.4452923653580464e-38,4.075487275596744e-39
19,-lt,1,1.0,1.0,language,1.5832968803384048e-27,1.4513554736435378e-27
20,-lt,1,1.0,0.7439303118456145,language,2.3937387934601995e-28,1.9947823278834995e-28
21,-lt,1,1.0,1.0,language,1.0162629967571863e-28,7.621972475678898e-29
22,-lt,1,1.0,1.0,language,3.626111543272478e-38,9.065278858181195e-39
23,-lt,1,1.0,1.0,language,8.867044544722153e-40,7.38920378726846e-41
24,-lt,2,1.0,0.9328664093488058,language,5.206707571631251e-30,2.6033537858156254e-30
25,-lt,2,1.0,1.0,language,1.0869454231480885e-34,1.811575705246814e-35
26,-lt,2,1.0,1.0,language,5.820615281868968e-22,4.850512734890806e-22
27,-lt,2,1.0,0.3400389177024961,language,1.6237720571643695e-28,1.0825147047762463e-28
28,-lt,2,1.0,0.31589774178753494,language,5.402043111485322e-29,3.151191815033105e-29
29,-lt,2,1.0,0.8139266860884651,language,3.3356931401921042e-31,1.38987214174671e-31
30,-lt,2,1.0,0.6610152612610387,language,8.80937611028601e-38,7.341146758571675e-39
31,-lt,2,1.0,1.0,language,1.039444936077258e-13,9.528245247374865e-14
32,-lt,2,1.0,0.9431587362471688,language,3.6431847364559274e-33,9.107961841139819e-34
33,-lt,2,1.0,0.9537320274976544,language,1.1130437534424337e-32,3.710145844808112e-33
34,-lt,2,1.0,0.5765117290434303,language,9.98281728682495e-28,7.487112965118712e-28
35,-lt,2,1.0,0.8518707519904365,language,1.97204159361724e-06,1.97204159361724e-06
