,fe,subject,pval,pval_orig,network,pval_LLM_sig,pval_LLM_sig_orig
0,-lt,018,1.0,0.8857945621787005,language,5.431835424050546e-29,4.33186875128626e-29
1,-lt,018,1.0,1.0,language,2.014057304736736e-26,1.8079056365788522e-26
2,-lt,018,1.0,0.716499067960727,language,2.4384095897965324e-33,9.732091293591463e-34
3,-lt,018,1.0,1.0,language,7.485371531813767e-24,6.989286526023459e-24
4,-lt,018,1.0,1.0,language,2.63636739217748e-26,2.3801078223929237e-26
5,-lt,018,1.0,1.0,language,1.0,1.0
6,-lt,018,1.0,1.0,language,4.9171206719717374e-24,4.57676033090742e-24
7,-lt,018,1.0,1.0,language,5.07440865471997e-17,4.9510982824035055e-17
8,-lt,018,1.0,1.0,language,1.0,1.0
9,-lt,018,1.0,1.0,language,3.4329861090266454e-27,3.0133427407656562e-27
10,-lt,018,1.0,1.0,language,1.0,1.0
11,-lt,018,1.0,0.9052786965748165,language,2.2738211709620444e-34,6.379424640180698e-35
12,-lt,018,1.0,1.0,language,2.307869571314986e-32,1.1675304826902764e-32
13,-lt,018,1.0,1.0,language,1.0,1.0
14,-lt,018,1.0,1.0,language,6.9200102500641945e-15,6.7977125725961966e-15
15,-lt,018,1.0,1.0,language,1.0,1.0
16,-lt,018,1.0,1.0,language,1.0,1.0
17,-lt,018,1.0,1.0,language,7.79604937390172e-32,4.299882902100433e-32
18,-lt,018,1.0,1.0,language,6.359998080946167e-30,4.762973526010495e-30
19,-lt,018,1.0,1.0,language,2.4383409394167707e-13,2.4042257127238996e-13
20,-lt,018,1.0,1.0,language,8.302941367045565e-28,7.1106927907761355e-28
21,-lt,018,1.0,1.0,language,1.9269259493905394e-28,1.593474109842103e-28
22,-lt,018,1.0,1.0,language,3.2797666049895376e-31,2.062533638189297e-31
23,-lt,018,1.0,1.0,language,9.266432238908048e-22,8.809251855986958e-22
24,-lt,018,1.0,1.0,language,1.0,1.0
25,-lt,018,1.0,1.0,language,2.0070428063367203e-33,7.833083117514445e-34
