subjects,Network,Model,perf
1,language,GPT2XLU-lt,0.24477570476978724
1,language,GPT2XLU-mp,0.2423192343900758
1,language,GPT2XLU-sp,0.24809437764448594
1,language,Simple,0.26823716528110136
2,language,GPT2XLU-lt,0.10854515439398027
2,language,GPT2XLU-mp,0.1089586259230978
2,language,GPT2XLU-sp,0.09775423708007032
2,language,Simple,0.08902800320971949
3,language,GPT2XLU-lt,0.2741238317652834
3,language,GPT2XLU-mp,0.2786016177071242
3,language,GPT2XLU-sp,0.2818097171754441
3,language,Simple,0.27653823503149194
4,language,GPT2XLU-lt,0.20000557716894038
4,language,GPT2XLU-mp,0.2016700633022457
4,language,GPT2XLU-sp,0.19629172830353728
4,language,Simple,0.22428592261997682
5,language,GPT2XLU-lt,0.13094842806990983
5,language,GPT2XLU-mp,0.13210945672529123
5,language,GPT2XLU-sp,0.12737311244101696
5,language,Simple,0.1425201412176963
