,feature_extraction,dataset,values
0,-lt,pereira,100.0
1,-lt,pereira,100.0
2,-lt,pereira,100.0
3,-lt,pereira,100.0
4,-lt,pereira,100.0
5,-lt,pereira,100.0
6,-lt,pereira,100.0
7,-lt,pereira,100.0
8,-lt,pereira,100.0
9,-lt,pereira,100.0
10,-mp,pereira,100.0
11,-mp,pereira,100.0
12,-mp,pereira,100.0
13,-mp,pereira,100.0
14,-mp,pereira,100.0
15,-mp,pereira,69.85122288588026
16,-mp,pereira,100.0
17,-mp,pereira,100.0
18,-mp,pereira,85.85848260027316
19,-mp,pereira,94.4974188090716
20,-sp,pereira,100.0
21,-sp,pereira,100.0
22,-sp,pereira,100.0
23,-sp,pereira,100.0
24,-sp,pereira,100.0
25,-sp,pereira,96.36044409631724
26,-sp,pereira,100.0
27,-sp,pereira,100.0
28,-sp,pereira,100.0
29,-sp,pereira,100.0
30,-lt,fedorenko,100.0
31,-lt,fedorenko,95.97019815634386
32,-lt,fedorenko,100.0
33,-lt,fedorenko,100.0
34,-lt,fedorenko,100.0
35,-mp,fedorenko,100.0
36,-mp,fedorenko,91.25774784607557
37,-mp,fedorenko,100.0
38,-mp,fedorenko,100.0
39,-mp,fedorenko,100.0
40,-sp,fedorenko,100.0
41,-sp,fedorenko,97.71024737711397
42,-sp,fedorenko,96.98843762071668
43,-sp,fedorenko,100.0
44,-sp,fedorenko,100.0
45,-lt,blank,97.92465845281956
46,-lt,blank,100.0
47,-lt,blank,100.0
48,-lt,blank,100.0
49,-lt,blank,100.0
50,-mp,blank,100.0
51,-mp,blank,100.0
52,-mp,blank,94.3599570186351
53,-mp,blank,100.0
54,-mp,blank,100.0
55,-sp,blank,100.0
56,-sp,blank,100.0
57,-sp,blank,93.35593168067669
58,-sp,blank,100.0
59,-sp,blank,100.0
