subjects,Network,Model,perf
018,language,GPT2XLU-lt,0.08313058407013907
018,language,GPT2XLU-mp,0.0944411196676387
018,language,GPT2XLU-sp,0.10748769139636027
018,language,Simple,0.11782191528530332
199,language,GPT2XLU-lt,0.03917065533934357
199,language,GPT2XLU-mp,0.05614309776902768
199,language,GPT2XLU-sp,0.048555212449791094
199,language,Simple,0.0466117951122282
215,language,GPT2XLU-lt,0.009705225251503266
215,language,GPT2XLU-mp,0.0013484068365089326
215,language,GPT2XLU-sp,0.06498149171012232
215,language,Simple,0.03954411737888421
288,language,GPT2XLU-lt,0.0184925037376978
288,language,GPT2XLU-mp,0.0060685199560537376
288,language,GPT2XLU-sp,0.037528438270600865
288,language,Simple,0.040588914555003595
289,language,GPT2XLU-lt,0.12451842597913511
289,language,GPT2XLU-mp,0.14951142051278277
289,language,GPT2XLU-sp,0.17185941544916608
289,language,Simple,0.176062943021358
296,language,GPT2XLU-lt,0.058006883999717165
296,language,GPT2XLU-mp,0.07658374163147579
296,language,GPT2XLU-sp,0.07212100293847243
296,language,Simple,0.07114850242705474
343,language,GPT2XLU-lt,0.18840631548955847
343,language,GPT2XLU-mp,0.19754250847608237
343,language,GPT2XLU-sp,0.19536904298532637
343,language,Simple,0.21509301443943488
366,language,GPT2XLU-lt,0.0375715216149596
366,language,GPT2XLU-mp,0.05935551599412145
366,language,GPT2XLU-sp,0.03642820063409596
366,language,Simple,0.0550243616741517
407,language,GPT2XLU-lt,0.01749683624188652
407,language,GPT2XLU-mp,0.05681020907085202
407,language,GPT2XLU-sp,0.05076361195238913
407,language,Simple,0.059069827075662565
426,language,GPT2XLU-lt,0.11271922168306145
426,language,GPT2XLU-mp,0.1565201935515504
426,language,GPT2XLU-sp,0.20219710533099078
426,language,Simple,0.21543231866157458
