,fe,subject,pval,pval_orig,network,pval_LLM_sig,pval_LLM_sig_orig
0,-lt,0,1.0,0.9659170086900453,language,3.8870031564347885e-120,3.2391692970289907e-121
1,-lt,0,1.0,0.539863536994016,language,1.7151597223746997e-84,1.4292997686455831e-84
2,-lt,0,1.0,0.9918896523483584,language,8.111450350037494e-99,2.7038167833458315e-99
3,-lt,0,1.0,0.9999773334816398,language,1.4421515791940494e-114,2.403585965323416e-115
4,-lt,0,1.0,0.780429000635871,language,4.783804381920569e-94,1.993251825800237e-94
5,-lt,0,1.0,0.9645617227613493,language,1.2182260687890993e-92,6.091130343945497e-93
6,-lt,0,1.0,1.0,language,1.0160082282671811e-68,1.0160082282671811e-68
7,-lt,0,1.0,0.9866978582854714,language,7.873683163380493e-90,5.249122108920329e-90
8,-lt,0,1.0,0.9993841756923778,language,9.585116143095433e-92,5.591317750139003e-92
9,-lt,0,1.0,0.99758056148883,language,2.6440542709394108e-74,2.4237164150277934e-74
10,-lt,0,1.0,0.9349685067110997,language,1.699947989471254e-101,4.249869973678135e-102
11,-lt,0,1.0,0.8599640119154259,language,1.8159796300399126e-89,1.3619847225299345e-89
12,-lt,1,1.0,1.0,language,4.87898079631767e-85,3.6592355972382524e-85
13,-lt,1,1.0,0.9802808743981323,language,3.1486231410568247e-111,2.623852617547354e-112
14,-lt,1,1.0,1.0,language,2.3324081228555537e-82,1.9436734357129614e-82
15,-lt,1,1.0,0.9798839824899377,language,4.1890915723706105e-102,6.98181928728435e-103
16,-lt,1,1.0,1.0,language,1.4743957978579058e-49,1.4743957978579058e-49
17,-lt,1,1.0,1.0,language,1.969260475473499e-93,9.846302377367495e-94
18,-lt,1,1.0,0.9642631573372784,language,8.182024765539738e-100,2.727341588513246e-100
19,-lt,1,1.0,1.0,language,7.912888286842907e-101,1.9782220717107266e-101
20,-lt,1,1.0,0.9874810929529275,language,1.598948602479214e-92,9.32720018112875e-93
21,-lt,1,1.0,1.0,language,4.052924268936025e-73,3.7151805798580234e-73
22,-lt,1,1.0,1.0,language,1.0272760600810302e-97,4.280316917004293e-98
23,-lt,1,1.0,1.0,language,1.0205301091990611e-89,6.803534061327074e-90
24,-lt,2,1.0,0.8117557707546511,language,2.220071587436953e-91,1.6650536905777147e-91
25,-lt,2,1.0,1.0,language,7.1155950577251475e-112,5.929662548104289e-113
26,-lt,2,1.0,1.0,language,2.658738097599241e-111,4.431230162665401e-112
27,-lt,2,1.0,0.5965146519607878,language,6.265497113028338e-88,5.221247594190283e-88
28,-lt,2,1.0,0.7488046163523991,language,4.3277194987081726e-101,2.5245030409131007e-101
29,-lt,2,1.0,0.673014081598571,language,5.561823075132844e-105,2.780911537566422e-105
30,-lt,2,1.0,0.8887944166757739,language,1.3069088112860964e-109,3.267272028215241e-110
31,-lt,2,1.0,1.0,language,1.5992929209498738e-58,1.4660185108707176e-58
32,-lt,2,1.0,0.9256626217780083,language,2.3133538671095116e-107,7.711179557031705e-108
33,-lt,2,1.0,0.9998607607991788,language,9.423938680743719e-106,3.9266411169765495e-106
34,-lt,2,1.0,0.8852155150887915,language,1.015334374101195e-92,6.7688958273413e-93
35,-lt,2,1.0,0.671965243605493,language,8.113976273744183e-49,8.113976273744183e-49
36,-lt,3,1.0,0.8986001992406621,language,1.0317449329296718e-82,7.738086996972539e-83
37,-lt,3,1.0,0.9993407900351081,language,5.0463438329342364e-101,2.1026432637225985e-101
38,-lt,3,1.0,0.9999682858204734,language,6.447067046217204e-81,5.37255587184767e-81
39,-lt,3,1.0,0.994691604927659,language,2.5517614467026512e-92,1.4885275105765466e-92
40,-lt,3,1.0,0.8799537294928714,language,4.668267004530215e-115,3.8902225037751795e-116
41,-lt,3,1.0,1.0,language,3.8701323649435313e-72,3.5476213345315705e-72
42,-lt,3,1.0,0.6914950023726781,language,2.4981611013523013e-94,1.2490805506761507e-94
43,-lt,3,1.0,0.9836900887681012,language,2.3020454334129255e-111,3.836742389021543e-112
44,-lt,3,1.0,1.0,language,1.4705484012297973e-105,3.6763710030744933e-106
45,-lt,3,1.0,0.5198496815502962,language,2.953343573390922e-101,9.84447857796974e-102
46,-lt,3,1.0,1.0,language,2.2683247823467704e-85,1.5122165215645136e-85
47,-lt,3,1.0,0.8707721275381163,language,2.609500326483442e-65,2.609500326483442e-65
48,-lt,4,1.0,0.9551987519164136,language,2.438639191702973e-108,6.096597979257432e-109
49,-lt,4,1.0,1.0,language,2.803032785020246e-107,9.343442616734152e-108
50,-lt,4,1.0,1.0,language,2.880379860829991e-111,4.800633101383318e-112
51,-lt,4,1.0,1.0,language,4.402102829049923e-76,4.0352609266290967e-76
52,-lt,4,1.0,1.0,language,4.818579113715986e-69,4.818579113715986e-69
53,-lt,4,1.0,1.0,language,5.704088575135542e-99,3.3273850021623996e-99
54,-lt,4,1.0,1.0,language,4.315709943026629e-81,3.596424952522191e-81
55,-lt,4,1.0,1.0,language,4.051206042464932e-118,3.376005035387443e-119
56,-lt,4,1.0,1.0,language,3.898125428625083e-100,1.9490627143125414e-100
57,-lt,4,1.0,1.0,language,1.9640703628827372e-87,1.473052772162053e-87
58,-lt,4,1.0,1.0,language,8.131211928309212e-96,5.420807952206142e-96
59,-lt,4,1.0,0.8322652018791763,language,4.821890460616054e-107,2.0091210252566892e-107
60,-mp,0,1.0,0.9659170086900453,language,3.8870031564347885e-120,3.2391692970289907e-121
61,-mp,0,1.0,0.539863536994016,language,1.7151597223746997e-84,1.4292997686455831e-84
62,-mp,0,1.0,0.9918896523483584,language,8.111450350037494e-99,2.7038167833458315e-99
63,-mp,0,1.0,0.9999773334816398,language,1.4421515791940494e-114,2.403585965323416e-115
64,-mp,0,1.0,0.780429000635871,language,4.783804381920569e-94,1.993251825800237e-94
65,-mp,0,1.0,0.9645617227613493,language,1.2182260687890993e-92,6.091130343945497e-93
66,-mp,0,1.0,1.0,language,1.0160082282671811e-68,1.0160082282671811e-68
67,-mp,0,1.0,0.9866978582854714,language,7.873683163380493e-90,5.249122108920329e-90
68,-mp,0,1.0,0.9993841756923778,language,9.585116143095433e-92,5.591317750139003e-92
69,-mp,0,1.0,0.99758056148883,language,2.6440542709394108e-74,2.4237164150277934e-74
70,-mp,0,1.0,0.9349685067110997,language,1.699947989471254e-101,4.249869973678135e-102
71,-mp,0,1.0,0.8599640119154259,language,1.8159796300399126e-89,1.3619847225299345e-89
72,-mp,1,1.0,1.0,language,4.87898079631767e-85,3.6592355972382524e-85
73,-mp,1,1.0,0.9802808743981323,language,3.1486231410568247e-111,2.623852617547354e-112
74,-mp,1,1.0,1.0,language,2.3324081228555537e-82,1.9436734357129614e-82
75,-mp,1,1.0,0.9798839824899377,language,4.1890915723706105e-102,6.98181928728435e-103
76,-mp,1,1.0,1.0,language,1.4743957978579058e-49,1.4743957978579058e-49
77,-mp,1,1.0,1.0,language,1.969260475473499e-93,9.846302377367495e-94
78,-mp,1,1.0,0.9642631573372784,language,8.182024765539738e-100,2.727341588513246e-100
79,-mp,1,1.0,1.0,language,7.912888286842907e-101,1.9782220717107266e-101
80,-mp,1,1.0,0.9874810929529275,language,1.598948602479214e-92,9.32720018112875e-93
81,-mp,1,1.0,1.0,language,4.052924268936025e-73,3.7151805798580234e-73
82,-mp,1,1.0,1.0,language,1.0272760600810302e-97,4.280316917004293e-98
83,-mp,1,1.0,1.0,language,1.0205301091990611e-89,6.803534061327074e-90
84,-mp,2,1.0,0.8117557707546511,language,2.220071587436953e-91,1.6650536905777147e-91
85,-mp,2,1.0,1.0,language,7.1155950577251475e-112,5.929662548104289e-113
86,-mp,2,1.0,1.0,language,2.658738097599241e-111,4.431230162665401e-112
87,-mp,2,1.0,0.5965146519607878,language,6.265497113028338e-88,5.221247594190283e-88
88,-mp,2,1.0,0.7488046163523991,language,4.3277194987081726e-101,2.5245030409131007e-101
89,-mp,2,1.0,0.673014081598571,language,5.561823075132844e-105,2.780911537566422e-105
90,-mp,2,1.0,0.8887944166757739,language,1.3069088112860964e-109,3.267272028215241e-110
91,-mp,2,1.0,1.0,language,1.5992929209498738e-58,1.4660185108707176e-58
92,-mp,2,1.0,0.9256626217780083,language,2.3133538671095116e-107,7.711179557031705e-108
93,-mp,2,1.0,0.9998607607991788,language,9.423938680743719e-106,3.9266411169765495e-106
94,-mp,2,1.0,0.8852155150887915,language,1.015334374101195e-92,6.7688958273413e-93
95,-mp,2,1.0,0.671965243605493,language,8.113976273744183e-49,8.113976273744183e-49
96,-mp,3,1.0,0.8986001992406621,language,1.0317449329296718e-82,7.738086996972539e-83
97,-mp,3,1.0,0.9993407900351081,language,5.0463438329342364e-101,2.1026432637225985e-101
98,-mp,3,1.0,0.9999682858204734,language,6.447067046217204e-81,5.37255587184767e-81
99,-mp,3,1.0,0.994691604927659,language,2.5517614467026512e-92,1.4885275105765466e-92
100,-mp,3,1.0,0.8799537294928714,language,4.668267004530215e-115,3.8902225037751795e-116
101,-mp,3,1.0,1.0,language,3.8701323649435313e-72,3.5476213345315705e-72
102,-mp,3,1.0,0.6914950023726781,language,2.4981611013523013e-94,1.2490805506761507e-94
103,-mp,3,1.0,0.9836900887681012,language,2.3020454334129255e-111,3.836742389021543e-112
104,-mp,3,1.0,1.0,language,1.4705484012297973e-105,3.6763710030744933e-106
105,-mp,3,1.0,0.5198496815502962,language,2.953343573390922e-101,9.84447857796974e-102
106,-mp,3,1.0,1.0,language,2.2683247823467704e-85,1.5122165215645136e-85
107,-mp,3,1.0,0.8707721275381163,language,2.609500326483442e-65,2.609500326483442e-65
108,-mp,4,1.0,0.9551987519164136,language,2.438639191702973e-108,6.096597979257432e-109
109,-mp,4,1.0,1.0,language,2.803032785020246e-107,9.343442616734152e-108
110,-mp,4,1.0,1.0,language,2.880379860829991e-111,4.800633101383318e-112
111,-mp,4,1.0,1.0,language,4.402102829049923e-76,4.0352609266290967e-76
112,-mp,4,1.0,1.0,language,4.818579113715986e-69,4.818579113715986e-69
113,-mp,4,1.0,1.0,language,5.704088575135542e-99,3.3273850021623996e-99
114,-mp,4,1.0,1.0,language,4.315709943026629e-81,3.596424952522191e-81
115,-mp,4,1.0,1.0,language,4.051206042464932e-118,3.376005035387443e-119
116,-mp,4,1.0,1.0,language,3.898125428625083e-100,1.9490627143125414e-100
117,-mp,4,1.0,1.0,language,1.9640703628827372e-87,1.473052772162053e-87
118,-mp,4,1.0,1.0,language,8.131211928309212e-96,5.420807952206142e-96
119,-mp,4,1.0,0.8322652018791763,language,4.821890460616054e-107,2.0091210252566892e-107
120,-sp,0,1.0,0.9659170086900453,language,3.8870031564347885e-120,3.2391692970289907e-121
121,-sp,0,1.0,0.539863536994016,language,1.7151597223746997e-84,1.4292997686455831e-84
122,-sp,0,1.0,0.9918896523483584,language,8.111450350037494e-99,2.7038167833458315e-99
