,fe,subject,pval,pval_orig,network,pval_LLM_sig,pval_LLM_sig_orig
0,-lt,018,1.0,0.8768012775909633,language,6.10481799322186e-54,3.1513088462802086e-54
1,-lt,018,1.0,1.0,language,1.1088793132082823e-49,8.794278500186451e-50
2,-lt,018,1.0,0.6546748359020687,language,8.349403378081488e-61,4.8571639681033695e-62
3,-lt,018,1.0,1.0,language,3.110723731041234e-44,2.833553207141389e-44
4,-lt,018,1.0,1.0,language,5.5373133092971214e-43,5.0847052258420545e-43
5,-lt,018,1.0,1.0,language,1.0,1.0
6,-lt,018,1.0,1.0,language,2.261423846999659e-42,2.0832409665659597e-42
7,-lt,018,1.0,1.0,language,1.5252419154093093e-28,1.4881778629730005e-28
8,-lt,018,1.0,1.0,language,1.0,1.0
9,-lt,018,1.0,1.0,language,2.698619697742042e-46,2.394577861398498e-46
10,-lt,018,1.0,1.0,language,1.0,1.0
11,-lt,018,1.0,0.7709705634175374,language,4.576864526025716e-54,2.2850619651291868e-54
12,-lt,018,1.0,1.0,language,4.2994445150519845e-50,3.3179807450474815e-50
13,-lt,018,1.0,1.0,language,1.0,1.0
14,-lt,018,1.0,1.0,language,1.5819748890319108e-25,1.5540165699326723e-25
15,-lt,018,1.0,1.0,language,1.0,1.0
16,-lt,018,1.0,1.0,language,1.0,1.0
17,-lt,018,1.0,1.0,language,9.208566919885156e-54,4.902646452928548e-54
18,-lt,018,1.0,1.0,language,5.4051471915498215e-53,3.2558250387980513e-53
19,-lt,018,1.0,1.0,language,7.265600430634792e-29,7.083692908807411e-29
20,-lt,018,1.0,1.0,language,5.813807347064699e-46,5.188758839942868e-46
21,-lt,018,1.0,1.0,language,1.903208435601839e-47,1.6523437007176497e-47
22,-lt,018,1.0,1.0,language,6.1828745519734974e-49,5.085619200702795e-49
23,-lt,018,1.0,1.0,language,2.4503354042043164e-35,2.349290645268056e-35
24,-lt,018,1.0,1.0,language,1.0,1.0
25,-lt,018,1.0,1.0,language,1.2284392312290508e-55,4.459650522797659e-56
26,-lt,018,1.0,1.0,language,7.264338043378778e-53,4.445261350550636e-53
27,-lt,018,1.0,1.0,language,1.0,1.0
28,-lt,018,1.0,1.0,language,6.231154135269619e-61,3.257819908719757e-62
29,-lt,018,1.0,1.0,language,5.4879366884761554e-36,5.2252593064798746e-36
30,-lt,018,1.0,1.0,language,3.1329188211485185e-56,9.666369558624663e-57
31,-lt,018,1.0,1.0,language,1.0517940872360904e-57,2.083450732448515e-58
32,-lt,018,1.0,0.8019656531953312,language,1.7383952921509224e-50,1.315957555472127e-50
33,-lt,018,1.0,1.0,language,1.5118286618502033e-53,8.316170916068497e-54
34,-lt,018,1.0,0.9282429547501061,language,7.491424931780893e-54,3.9443069412542994e-54
35,-lt,018,1.0,0.5741219725462323,language,6.405495614431973e-55,2.683893228727388e-55
36,-lt,018,1.0,1.0,language,1.4321953076948642e-55,5.34700310015682e-56
37,-lt,018,1.0,1.0,language,2.7008725170093324e-45,2.4283986327455042e-45
38,-lt,018,1.0,1.0,language,2.2679402759261663e-28,2.2144983842990405e-28
39,-lt,018,1.0,1.0,language,1.7660438694167512e-48,1.4838409830666518e-48
40,-lt,018,1.0,1.0,language,2.2460688910334757e-51,1.5828335263026776e-51
41,-lt,018,1.0,1.0,language,3.689799080797047e-59,3.99411240704835e-60
42,-lt,018,1.0,1.0,language,1.83585893553374e-49,1.4816652381038137e-49
43,-lt,018,1.0,1.0,language,1.2340820027811771e-40,1.1532032853676831e-40
44,-lt,018,1.0,1.0,language,1.0,1.0
45,-lt,018,1.0,0.5828023649990358,language,1.3813517522009943e-48,1.1565515038678428e-48
46,-lt,018,1.0,0.5710583619853695,language,7.788329919829291e-56,2.678313750044388e-56
47,-lt,018,1.0,1.0,language,4.672896098421322e-55,1.885675303339385e-55
