,perf,subjects,Network,Model
0,0.1669762950536324,1,language,GPT2XLU-lt
1,0.1043111354989448,1,language,GPT2XLU-lt
2,0.43592967795981663,1,language,GPT2XLU-lt
3,0.38073299390156573,1,language,GPT2XLU-lt
4,0.21085479066429422,1,language,GPT2XLU-lt
5,0.44481211748764055,1,language,GPT2XLU-lt
6,0.24942377872623114,1,language,GPT2XLU-lt
7,0.06439448948269552,1,language,GPT2XLU-lt
8,0.2954970920053501,1,language,GPT2XLU-lt
9,0.42473985821368565,1,language,GPT2XLU-lt
10,0.23911706117389323,1,language,GPT2XLU-lt
11,0.12716655001834978,1,language,GPT2XLU-lt
12,0.15178292698848894,1,language,GPT2XLU-lt
13,0.2485712047549013,1,language,GPT2XLU-lt
14,0.2549399814067748,1,language,GPT2XLU-lt
15,0.2241378083593995,1,language,GPT2XLU-lt
16,0.1157456434625671,1,language,GPT2XLU-lt
17,0.11643314004877363,1,language,GPT2XLU-lt
18,0.313449613225213,1,language,GPT2XLU-lt
19,0.04534441324215286,1,language,GPT2XLU-lt
20,0.14653625767223974,1,language,GPT2XLU-lt
21,0.2084388063508973,1,language,GPT2XLU-lt
22,0.25793948585160253,1,language,GPT2XLU-lt
23,0.4885904605348899,1,language,GPT2XLU-lt
24,0.2988860736242854,1,language,GPT2XLU-lt
25,0.451410658210737,1,language,GPT2XLU-lt
26,0.4483025028446329,1,language,GPT2XLU-lt
27,0.09800744791830837,1,language,GPT2XLU-lt
28,0.3558656217915436,1,language,GPT2XLU-lt
29,0.3512713677222564,1,language,GPT2XLU-lt
30,0.12688208828504127,1,language,GPT2XLU-lt
31,0.3121651565722031,1,language,GPT2XLU-lt
32,0.22647898797188018,1,language,GPT2XLU-lt
33,0.2457436696278819,1,language,GPT2XLU-lt
34,0.33649264257636996,1,language,GPT2XLU-lt
35,0.2594472280646012,1,language,GPT2XLU-lt
36,0.3302153786135162,1,language,GPT2XLU-lt
37,0.32108413490170823,1,language,GPT2XLU-lt
38,0.3477077773811603,1,language,GPT2XLU-lt
39,0.2828069834381075,1,language,GPT2XLU-lt
40,0.23526672887267264,1,language,GPT2XLU-lt
41,0.284046608909725,1,language,GPT2XLU-lt
